rollout/success_rate,time/total_timesteps,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/ent_coef,time/time_elapsed,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,16,4,1015,35.84474563598633,0.0003,4.0,4.1950605,51,-89.23954010009766,0.009999999776482582,0,,,
0.0,32,8,1031,29.694515228271484,0.0003,4.0,4.54638175,54,-88.65379333496094,0.009999999776482582,0,,,
0.0,48,12,1047,133.3601837158203,0.0003,4.0,4.667562083333333,56,-89.63567352294922,0.009999999776482582,0,,,
0.0,64,16,1063,18.835430145263672,0.0003,4.0,4.6844585625,57,-89.41000366210938,0.009999999776482582,1,,,
0.0,80,20,1079,16.15150260925293,0.0003,4.0,4.578836349999999,57,-87.17607116699219,0.009999999776482582,1,,,
0.0,96,24,1095,260.6282958984375,0.0003,4.0,4.608724375,57,-83.45372009277344,0.009999999776482582,1,,,
0.0,112,28,1111,98.22394561767578,0.0003,4.0,4.554157428571429,57,-83.81736755371094,0.009999999776482582,1,,,
0.0,128,32,1127,30.470279693603516,0.0003,4.0,4.61891834375,56,-84.42996215820312,0.009999999776482582,2,,,
0.0,144,36,1143,108.4552993774414,0.0003,4.0,4.526619138888889,57,-85.04744720458984,0.009999999776482582,2,,,
0.0,160,40,1159,17.35253143310547,0.0003,4.0,4.49341585,57,-84.59889221191406,0.009999999776482582,2,,,
0.0,176,44,1175,28.480358123779297,0.0003,4.0,4.405271999999999,57,-81.68647766113281,0.009999999776482582,3,,,
0.0,192,48,1191,178.11656188964844,0.0003,4.0,4.412559375,57,-81.09439849853516,0.009999999776482582,3,,,
0.0,208,52,1207,136.72335815429688,0.0003,4.0,4.366198269230769,57,-80.87195587158203,0.009999999776482582,3,,,
0.0,224,56,1223,87.57614135742188,0.0003,4.0,4.354125410714286,56,-80.20338439941406,0.009999999776482582,3,,,
0.0,240,60,1239,147.25277709960938,0.0003,4.0,4.289406016666667,56,-81.20040130615234,0.009999999776482582,4,,,
0.0,256,64,1255,90.03760528564453,0.0003,4.0,4.292502359375,56,-82.54542541503906,0.009999999776482582,4,,,
0.0,272,68,1271,75.48857879638672,0.0003,4.0,4.242331764705883,57,-86.34101867675781,0.009999999776482582,4,,,
0.0,288,72,1287,18.939983367919922,0.0003,4.0,4.165283861111111,57,-85.71646118164062,0.009999999776482582,5,,,
0.0,304,76,1303,99.2477798461914,0.0003,4.0,4.0958228684210525,57,-81.44181823730469,0.009999999776482582,5,,,
