train/ent_coef,time/episodes,rollout/ep_len_mean,time/fps,rollout/success_rate,train/learning_rate,train/actor_loss,time/total_timesteps,train/ent_coef_loss,train/critic_loss,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.9709465137124061,4,20.0,18,0.0,0.0003,-6.359387047290802,80,-0.1884274256415665,16.602076678276063,4,200,12.506898499999998,,,
,8,20.0,17,0.0,,,160,,,9,,9.631606499999998,,,
,12,20.0,17,0.0,,,240,,,13,,3.5636653333333324,,,
,16,20.0,17,0.0,,,320,,,18,,0.6003711249999998,,,
,20,20.0,17,0.0,,,400,,,23,,-0.01772335000000016,,,
,24,20.0,16,0.0,,,480,,,28,,1.0384443749999999,,,
,,,,,,,500,,,,,,37.88317015,0.9,9.25
0.9275100827217102,28,20.0,12,0.0,0.0003,-9.236465454101562,560,-0.4625287353992462,3.610245943069458,44,259,-0.0007676785714286284,,,
0.9090505242347717,32,19.65625,12,0.03125,0.0003,-9.934389114379883,629,-0.5817619562149048,2.7167038917541504,48,328,0.32486562499999994,,,
0.889884889125824,36,19.47222222222222,13,0.05555555555555555,0.0003,-10.28708267211914,701,-0.7294002175331116,2.4000139236450195,53,400,2.3457818888888884,,,
0.8691824674606323,40,19.5,13,0.075,0.0003,-11.161425590515137,780,-0.8735760450363159,1.765228509902954,58,479,6.020459525000001,,,
0.8526149988174438,44,19.204545454545453,13,0.09090909090909091,0.0003,-11.622320175170898,845,-0.9679602384567261,2.241943359375,62,544,7.366105045454546,,,
0.8350317478179932,48,19.083333333333332,13,0.10416666666666667,0.0003,-12.891220092773438,916,-1.0943156480789185,2.29702091217041,66,615,8.9037449375,,,
0.8236224055290222,52,18.51923076923077,13,0.15384615384615385,0.0003,-13.486371994018555,963,-1.185792088508606,2.868368148803711,70,662,12.037762653846155,,,
0.814738392829895,,,,,0.0003,-13.776886940002441,1000,-1.229183316230774,3.8961286544799805,,699,,73.29307179999999,0.0,20.0
0.8046002388000488,56,18.625,10,0.14285714285714285,0.0003,-14.087285995483398,1043,-1.2876052856445312,4.146722793579102,94,742,11.458447000000003,,,
0.7859602570533752,60,18.716666666666665,11,0.13333333333333333,0.0003,-14.842989921569824,1123,-1.4367165565490723,5.341668605804443,99,822,12.747973566666671,,,
0.7679345011711121,64,18.796875,11,0.125,0.0003,-15.810032844543457,1203,-1.580535650253296,6.376317977905273,105,902,14.2831755,,,
0.7504540085792542,68,18.86764705882353,11,0.11764705882352941,0.0003,-17.101882934570312,1283,-1.6375280618667603,7.760311126708984,110,982,15.32670730882353,,,
0.7336887121200562,72,18.930555555555557,11,0.1111111111111111,0.0003,-18.01861572265625,1363,-1.798624873161316,9.107807159423828,115,1062,15.18513538888889,,,
0.7176523208618164,76,18.986842105263158,11,0.10526315789473684,0.0003,-18.81916618347168,1443,-1.8478089570999146,11.229147911071777,121,1142,17.26577315789474,,,
0.7065507173538208,,,,,0.0003,-20.055185317993164,1500,-1.8455780744552612,11.281213760375977,,1199,,37.88328995,0.0,20.0
0.7021467685699463,80,19.0375,10,0.1,0.0003,-19.345556259155273,1523,-1.959390640258789,13.103281021118164,146,1222,19.1442394,,,
0.6872808933258057,84,19.083333333333332,10,0.09523809523809523,0.0003,-21.268531799316406,1603,-2.0244526863098145,17.75550079345703,151,1302,20.317511654761905,,,
0.6730356812477112,88,19.125,10,0.09090909090909091,0.0003,-22.697643280029297,1683,-1.9005727767944336,16.676471710205078,157,1382,21.642046238636365,,,
0.6592680215835571,92,19.16304347826087,10,0.08695652173913043,0.0003,-22.812150955200195,1763,-2.107297897338867,17.19344139099121,163,1462,23.046639336956524,,,
0.6461197137832642,96,19.197916666666668,10,0.08333333333333333,0.0003,-25.31688690185547,1843,-1.9576139450073242,22.398944854736328,168,1542,24.3778799375,,,
0.6334993243217468,100,19.23,11,0.08,0.0003,-27.043128967285156,1923,-2.0597329139709473,20.548748016357422,174,1622,25.579561690000002,,,
0.6216076612472534,,,,,0.0003,-27.643686294555664,2000,-2.025834321975708,25.089981079101562,,1699,,20.4143076,0.0,20.0
0.6211602091789246,104,19.23,10,0.08,0.0003,-27.85317611694336,2003,-2.0817341804504395,20.580089569091797,198,1702,26.429978809999998,,,
0.6091523766517639,108,19.23,10,0.08,0.0003,-27.899099349975586,2083,-2.1181790828704834,21.472301483154297,204,1782,28.32762246,,,
0.5975885391235352,112,19.23,10,0.08,0.0003,-29.412694931030273,2163,-2.232163906097412,29.159191131591797,209,1862,29.995934620000007,,,
0.5862534046173096,116,19.23,10,0.08,0.0003,-32.0145149230957,2243,-2.139655113220215,34.16975402832031,215,1942,32.10420313,,,
0.5754367709159851,120,19.23,10,0.08,0.0003,-32.138668060302734,2323,-2.1666531562805176,34.42772674560547,220,2022,33.55633756,,,
0.5647591352462769,124,19.23,10,0.08,0.0003,-35.55728530883789,2403,-2.1184163093566895,36.74695587158203,226,2102,35.19622536,,,
0.5543495416641235,128,19.23,10,0.08,0.0003,-35.92542266845703,2483,-2.2381110191345215,39.421051025390625,232,2182,37.48804176,,,
0.5522022843360901,,,,,0.0003,-35.98971176147461,2500,-2.1345057487487793,35.15574645996094,,2199,,51.166438250000006,0.0,20.0
0.5445489883422852,132,19.34,9,0.07,0.0003,-36.77850341796875,2563,-2.0744991302490234,32.09633255004883,257,2262,38.994723609999994,,,
0.534813404083252,136,19.42,10,0.06,0.0003,-38.66178512573242,2643,-2.279974937438965,50.73218536376953,262,2342,39.44099124,,,
0.525484025478363,140,19.43,10,0.05,0.0003,-39.551517486572266,2723,-2.3432421684265137,35.3887939453125,268,2422,40.102607500000005,,,
0.5158724784851074,144,19.58,10,0.04,0.0003,-38.963401794433594,2803,-2.3264293670654297,46.875633239746094,273,2502,40.83818814999999,,,
0.5067219734191895,148,19.67,10,0.03,0.0003,-40.8024787902832,2883,-2.491636037826538,41.285919189453125,279,2582,41.17965343,,,
0.49740836024284363,152,20.0,10,0.0,0.0003,-43.64303207397461,2963,-2.1438674926757812,48.166831970214844,285,2662,42.1734457,,,
0.49318861961364746,,,,,0.0003,-44.73978042602539,3000,-2.273648262023926,50.17632293701172,,2699,,53.3505796,0.0,20.0
0.4882891774177551,156,20.0,9,0.0,0.0003,-44.32386016845703,3043,-2.0817320346832275,46.51892852783203,312,2742,43.11682392000001,,,
0.47921687364578247,160,20.0,9,0.0,0.0003,-43.775474548339844,3123,-2.444369316101074,53.83702087402344,317,2822,44.060975490000004,,,
0.4702845513820648,164,20.0,9,0.0,0.0003,-47.68456268310547,3203,-2.193547010421753,55.57366943359375,323,2902,45.43683627,,,
0.46172165870666504,168,20.0,9,0.0,0.0003,-48.09038543701172,3283,-2.5347847938537598,38.81745147705078,329,2982,44.77200346000001,,,
0.4533177614212036,172,20.0,10,0.0,0.0003,-49.36662292480469,3363,-2.627288818359375,52.15007400512695,335,3062,47.07692612000001,,,
0.444936603307724,176,20.0,10,0.0,0.0003,-51.03122329711914,3443,-2.446399688720703,48.71865463256836,340,3142,47.9532716,,,
0.43903040885925293,,,,,0.0003,-51.524044036865234,3500,-2.5017893314361572,53.143959045410156,,3199,,43.1514874,0.0,20.0
0.43665292859077454,180,20.0,9,0.0,0.0003,-52.06298065185547,3523,-2.5637102127075195,52.277191162109375,365,3222,48.1354615,,,
0.4285704791545868,184,20.0,9,0.0,0.0003,-54.39387130737305,3603,-2.7300095558166504,51.05719757080078,371,3302,49.43813372,,,
0.4203581213951111,188,20.0,9,0.0,0.0003,-54.03550720214844,3683,-2.4595630168914795,56.05210876464844,377,3382,50.42496104000001,,,
0.4124363958835602,192,20.0,9,0.0,0.0003,-55.72811508178711,3763,-2.62520694732666,75.00164031982422,383,3462,50.457147670000005,,,
0.4044422507286072,196,20.0,9,0.0,0.0003,-56.35704040527344,3843,-2.8070719242095947,53.46878433227539,387,3542,50.71059798,,,
0.3965555727481842,200,20.0,9,0.0,0.0003,-58.01530838012695,3923,-2.8981573581695557,48.74436950683594,392,3622,50.659627269999994,,,
0.3890862762928009,,,,,0.0003,-57.22048568725586,4000,-3.060763120651245,46.05222702026367,,3699,,56.073817250000005,0.0,20.0
0.3887825906276703,204,20.0,9,0.0,0.0003,-57.94453430175781,4003,-2.770765781402588,35.67433166503906,411,3702,52.28047903000001,,,
0.3817004859447479,208,19.95,9,0.01,0.0003,-58.755123138427734,4078,-2.839329242706299,84.37812042236328,415,3777,52.71990929999999,,,
0.37437015771865845,212,19.95,9,0.01,0.0003,-62.94158935546875,4158,-2.977754592895508,64.75877380371094,420,3857,54.321275240000006,,,
0.3671472668647766,216,19.95,9,0.01,0.0003,-61.88216018676758,4238,-2.857412338256836,104.40333557128906,425,3937,55.19368200000001,,,
0.3602210283279419,220,19.95,10,0.01,0.0003,-64.7701187133789,4318,-2.5725882053375244,79.20663452148438,429,4017,56.79541800999999,,,
0.35353556275367737,224,19.95,10,0.01,0.0003,-67.19126892089844,4398,-2.633389949798584,62.77838134765625,434,4097,57.33330314,,,
0.34677836298942566,228,19.95,10,0.01,0.0003,-66.32470703125,4478,-2.8556790351867676,56.38555145263672,439,4177,58.306935200000005,,,
0.34496843814849854,,,,,0.0003,-66.97198486328125,4500,-2.2688777446746826,69.00128173828125,,4199,,74.55641015,0.0,20.0
0.34000980854034424,232,19.95,9,0.01,0.0003,-69.48890686035156,4558,-2.8243088722229004,58.10236358642578,458,4257,58.45583328,,,
0.3335537314414978,236,19.95,10,0.01,0.0003,-67.95996856689453,4638,-2.987051248550415,77.00363159179688,463,4337,60.29871799000001,,,
0.3273142874240875,240,19.95,10,0.01,0.0003,-70.7685546875,4718,-2.7269110679626465,50.70945358276367,467,4417,60.10862716,,,
0.3210221230983734,244,19.95,10,0.01,0.0003,-71.2489013671875,4798,-2.9674811363220215,86.0796127319336,472,4497,60.742267649999995,,,
0.3148776888847351,248,19.95,10,0.01,0.0003,-74.84152221679688,4878,-3.0205538272857666,96.43592834472656,476,4577,61.336213519999994,,,
0.30891287326812744,252,19.95,10,0.01,0.0003,-71.40396118164062,4958,-2.1353862285614014,65.02571868896484,481,4657,61.318941450000004,,,
0.305988073348999,,,,,0.0003,-74.64519500732422,5000,-2.4847400188446045,81.60133361816406,,4699,,70.32014805,0.0,20.0
0.3030979633331299,256,19.95,10,0.01,0.0003,-73.58013916015625,5038,-2.780440330505371,80.43790435791016,502,4737,62.85197349,,,
