train/ent_coef,train/n_updates,train/actor_loss,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,time/fps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.009999999776482582,500,-75.31036268746388,80,4,20.0,0,0.0,88,1678.847176879883,0.0003,-0.7322010000000001,,,
,,,160,8,20.0,1,0.0,93,,,-2.5572501250000004,,,
,,,240,12,20.0,2,0.0,94,,,-2.6736706666666676,,,
,,,320,16,20.0,3,0.0,95,,,-3.2387745624999997,,,
,,,400,20,20.0,4,0.0,96,,,-4.0066903,,,
,,,480,24,20.0,5,0.0,95,,,-3.3204364166666664,,,
,,,560,28,20.0,5,0.0,96,,,-3.7276634999999994,,,
,,,640,32,20.0,6,0.0,97,,,-4.40933575,,,
,,,720,36,20.0,7,0.0,97,,,-4.303575972222222,,,
,,,800,40,20.0,8,0.0,97,,,-4.11637285,,,
,,,880,44,20.0,8,0.0,97,,,-4.443193840909091,,,
,,,960,48,20.0,9,0.0,97,,,-4.090320041666667,,,
0.009999999776482582,578,-98.34950256347656,1040,52,20.0,11,0.0,92,345.0165710449219,0.0003,-4.487669019230769,,,
0.009999999776482582,738,-103.23223114013672,1120,56,20.0,13,0.0,84,176.54446411132812,0.0003,-4.7873720892857135,,,
0.009999999776482582,792,-104.64861297607422,1147,60,19.116666666666667,14,0.05,81,180.5447998046875,0.0003,6.022281733333333,,,
0.009999999776482582,886,-107.36266708374023,1194,64,18.65625,15,0.078125,76,145.86984252929688,0.0003,12.364264171875,,,
0.009999999776482582,1012,-115.32210540771484,1257,68,18.485294117647058,17,0.08823529411764706,72,127.806640625,0.0003,14.484611323529412,,,
0.009999999776482582,1100,-117.45053482055664,1301,72,18.069444444444443,18,0.125,69,188.84232330322266,0.0003,22.491794819444447,,,
0.009999999776482582,1186,-122.69155502319336,1344,76,17.68421052631579,20,0.15789473684210525,66,189.84561157226562,0.0003,29.667716,,,
0.009999999776482582,1286,-128.47075653076172,1394,80,17.425,21,0.175,64,174.20156860351562,0.0003,33.4577884,,,
0.009999999776482582,1344,-133.4021759033203,1423,84,16.94047619047619,22,0.20238095238095238,63,194.92755126953125,0.0003,39.51661841666667,,,
0.009999999776482582,1436,-139.34170532226562,1469,88,16.693181818181817,23,0.2159090909090909,61,118.9230728149414,0.0003,42.47881621590909,,,
0.009999999776482582,1596,-145.82288360595703,1549,92,16.83695652173913,26,0.20652173913043478,59,140.52305603027344,0.0003,40.29391248913043,,,
0.009999999776482582,1756,-150.08052825927734,1629,96,16.96875,28,0.19791666666666666,57,149.1742172241211,0.0003,38.23946994791667,,,
0.009999999776482582,1880,-150.5678939819336,1691,100,16.91,30,0.2,56,141.4037094116211,0.0003,38.58860067,,,
0.009999999776482582,2022,-154.6003875732422,1762,104,16.82,32,0.21,54,115.35677337646484,0.0003,40.47424437,,,
0.009999999776482582,2090,-156.48429107666016,1796,108,16.36,33,0.24,54,70.62228012084961,0.0003,47.23478077,,,
0.009999999776482582,2226,-162.02104949951172,1864,112,16.24,35,0.25,52,99.40168380737305,0.0003,50.02332721999999,,,
0.009999999776482582,2386,-167.7136001586914,1944,116,16.24,37,0.25,51,89.7713851928711,0.0003,50.903374840000005,,,
0.009999999776482582,2546,-169.44552612304688,2024,120,16.24,46,0.25,43,98.6513671875,0.0003,51.44313679999999,15.011191056270496,0.0,20.0
0.009999999776482582,2706,-169.02591705322266,2104,124,16.24,48,0.25,43,80.51929473876953,0.0003,51.71836297000001,,,
0.009999999776482582,2866,-167.7811737060547,2184,128,16.24,50,0.25,42,94.27222442626953,0.0003,52.93845273000001,,,
0.009999999776482582,3026,-174.3510284423828,2264,132,16.24,53,0.25,42,130.447998046875,0.0003,53.45950489,,,
0.009999999776482582,3186,-178.00971221923828,2344,136,16.24,55,0.25,42,89.44955444335938,0.0003,54.13248155,,,
0.009999999776482582,3346,-182.07037353515625,2424,140,16.24,58,0.25,41,72.2535285949707,0.0003,55.41952937000001,,,
0.009999999776482582,3506,-184.36359405517578,2504,144,16.24,60,0.25,41,65.45457458496094,0.0003,56.6949592,,,
0.009999999776482582,3666,-189.84728240966797,2584,148,16.24,63,0.25,40,67.46229553222656,0.0003,57.33473035000001,,,
0.009999999776482582,3826,-185.6977081298828,2664,152,16.24,65,0.25,40,52.54186248779297,0.0003,58.57833323,,,
0.009999999776482582,3986,-192.32848358154297,2744,156,16.24,68,0.25,40,63.62586975097656,0.0003,58.64663788,,,
0.009999999776482582,4146,-187.31527709960938,2824,160,16.77,70,0.22,40,64.20343208312988,0.0003,52.43325667,,,
0.009999999776482582,4306,-186.99858856201172,2904,164,17.1,73,0.2,39,51.934457778930664,0.0003,49.20918741999999,,,
0.009999999776482582,4466,-192.5241928100586,2984,168,17.27,75,0.19,39,51.8631706237793,0.0003,48.03057363,,,
