rollout/success_rate,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,2880,24.0,109,120,26,-30.829104279999996,0.13288065791130066,0.0003,0.5691903233528137,-3.792825222015381,1879,-7.785625457763672,,,
0.0,2976,24.0,113,124,26,-30.880793599999997,0.07811926305294037,0.0003,0.5530374646186829,-3.9866011142730713,1975,-7.901636123657227,,,
0.0,3072,24.0,117,128,26,-31.540927879999995,0.16422733664512634,0.0003,0.5373443365097046,-4.185671806335449,2071,-7.567831039428711,,,
0.0,3168,24.0,122,132,25,-31.27075168,0.14898690581321716,0.0003,0.5220965147018433,-4.375335216522217,2167,-7.771262168884277,,,
0.0,3264,24.0,126,136,25,-30.967894810000004,0.17808018624782562,0.0003,0.5072896480560303,-4.545534610748291,2263,-7.93309211730957,,,
0.0,3360,24.0,130,140,25,-30.753531560000006,0.16996771097183228,0.0003,0.4929056465625763,-4.762253761291504,2359,-7.963895320892334,,,
0.0,3456,24.0,134,144,25,-30.70480024,0.5088939666748047,0.0003,0.47893160581588745,-4.967827796936035,2455,-7.878897190093994,,,
0.0,3552,24.0,138,148,25,-30.481993900000003,0.2595822811126709,0.0003,0.4653521180152893,-5.130563259124756,2551,-8.276776313781738,,,
0.0,3648,24.0,142,152,25,-30.35235049,0.757408082485199,0.0003,0.45216721296310425,-5.310455322265625,2647,-8.265432357788086,,,
0.0,3744,24.0,146,156,25,-30.36332569,0.29912787675857544,0.0003,0.4393594563007355,-5.529170513153076,2743,-7.261056423187256,,,
0.0,3840,24.0,149,160,25,-30.355688350000005,0.5006844401359558,0.0003,0.42691054940223694,-5.7165937423706055,2839,-7.626780033111572,,,
0.0,3936,24.0,153,164,25,-30.061332820000004,0.26849204301834106,0.0003,0.41481679677963257,-5.866966247558594,2935,-7.350100994110107,,,
,4000,,,,,,0.4115889370441437,0.0003,0.4069511592388153,-6.025067329406738,2999,-6.87124490737915,-30.503268099999996,0.0,24.0
0.0,4032,24.0,164,168,24,-29.756796750000003,0.404579222202301,0.0003,0.4030751585960388,-6.043045520782471,3031,-7.450648307800293,,,
0.0,4128,24.0,168,172,24,-30.990958059999997,0.4171651005744934,0.0003,0.39167457818984985,-6.272165775299072,3127,-6.852178573608398,,,
0.0,4224,24.0,173,176,24,-30.996678949999993,0.40327900648117065,0.0003,0.3805883526802063,-6.442039489746094,3223,-6.577903747558594,,,
0.0,4320,24.0,177,180,24,-30.74147791,1.4716229438781738,0.0003,0.36981523036956787,-6.6281418800354,3319,-6.16795539855957,,,
0.0,4416,24.0,181,184,24,-30.652250229999996,0.3905050754547119,0.0003,0.3593617081642151,-6.818148136138916,3415,-6.138782024383545,,,
0.0,4512,24.0,185,188,24,-30.803704429999996,0.9258745312690735,0.0003,0.349202424287796,-7.078988552093506,3511,-5.621095657348633,,,
0.0,4608,24.0,190,192,24,-32.94372392,0.3803337812423706,0.0003,0.3393403887748718,-7.206129550933838,3607,-6.271971225738525,,,
