time/total_timesteps,time/time_elapsed,rollout/success_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss
1674,34,0.78,152,6.61,174.46236874,47,0.009999999776482582,-137.48953247070312,1346,0.0003,260.11558532714844
1686,35,0.82,156,5.93,184.03598646999995,47,0.009999999776482582,-139.61676025390625,1370,0.0003,477.85435485839844
1698,36,0.84,160,5.6,189.06785083000003,47,0.009999999776482582,-141.7268829345703,1394,0.0003,405.4080505371094
1726,37,0.83,164,5.8,187.01704034000005,46,0.009999999776482582,-140.95687103271484,1450,0.0003,376.71563720703125
1737,37,0.87,168,5.11,196.39163679,46,0.009999999776482582,-148.73605346679688,1472,0.0003,334.02618408203125
1748,38,0.91,172,4.42,205.69580269000002,45,0.009999999776482582,-146.2119369506836,1494,0.0003,308.68882751464844
1775,39,0.92,176,4.23,207.76142649000002,45,0.009999999776482582,-153.22528839111328,1548,0.0003,292.1572570800781
1784,39,0.92,180,4.2,207.19147069,45,0.009999999776482582,-155.81807708740234,1566,0.0003,365.0801086425781
1811,40,0.91,184,4.35,204.45911894999998,44,0.009999999776482582,-153.98477172851562,1620,0.0003,245.38697814941406
1838,41,0.9,188,4.51,201.91913401,44,0.009999999776482582,-164.81780242919922,1674,0.0003,204.6770782470703
1847,42,0.91,192,4.31,203.72091069,43,0.009999999776482582,-165.93771362304688,1692,0.0003,189.06134033203125
1858,42,0.91,196,4.3,203.46695422000002,43,0.009999999776482582,-165.34158325195312,1714,0.0003,162.42572021484375
1903,44,0.9,200,4.46,200.95269470000002,43,0.009999999776482582,-170.75074005126953,1804,0.0003,148.9797134399414
1932,45,0.89,204,4.64,198.43396926000003,42,0.009999999776482582,-174.23326110839844,1862,0.0003,162.59622192382812
1942,45,0.89,208,4.62,197.93277554,42,0.009999999776482582,-175.20128631591797,1882,0.0003,125.36289978027344
1950,45,0.89,212,4.58,197.26351382000001,42,0.009999999776482582,-174.4742202758789,1898,0.0003,133.0017852783203
1961,46,0.89,216,4.57,196.74588523,42,0.009999999776482582,-180.18305206298828,1920,0.0003,135.8244171142578
1973,47,0.91,220,4.23,201.23651911000002,41,0.009999999776482582,-177.86448669433594,1944,0.0003,114.42565155029297
