rollout/ep_len_mean,time/time_elapsed,train/ent_coef,time/total_timesteps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/episodes,train/n_updates,time/fps,train/learning_rate,rollout/success_rate
4.0,0,0.009999999776482582,16,-89.23954010009766,35.84474563598633,4.1950605,4,1015,52,0.0003,0.0
4.0,0,0.009999999776482582,32,-88.65379333496094,29.694515228271484,4.54638175,8,1031,54,0.0003,0.0
4.0,0,0.009999999776482582,48,-89.63567352294922,133.3601837158203,4.667562083333333,12,1047,55,0.0003,0.0
4.0,1,0.009999999776482582,64,-89.41000366210938,18.835430145263672,4.6844585625,16,1063,55,0.0003,0.0
4.0,1,0.009999999776482582,80,-87.17607116699219,16.15150260925293,4.578836349999999,20,1079,56,0.0003,0.0
4.0,1,0.009999999776482582,96,-83.45372009277344,260.6282958984375,4.608724375,24,1095,56,0.0003,0.0
