rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/stage_index,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,curriculum/randomize_probability,rollout/success_rate,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
9.86,130.75181937000002,0.0,42,37,1599,132,0.0,0.59,0.009999999776482582,1196,398.0463562011719,0.0003,-119.48512268066406,,,
9.18,140.02593473000002,0.0,42,38,1611,136,0.0,0.63,0.009999999776482582,1220,393.78883361816406,0.0003,-121.63779067993164,,,
8.49,149.14007021999998,0.0,41,38,1622,140,0.0,0.67,0.009999999776482582,1242,337.37108612060547,0.0003,-124.07658386230469,,,
7.8,158.42268124000003,0.0,41,39,1633,144,0.0,0.71,0.009999999776482582,1264,386.935546875,0.0003,-127.67227554321289,,,
7.29,165.50565420000004,0.0,40,40,1662,148,0.0,0.74,0.009999999776482582,1322,364.8535614013672,0.0003,-127.57495880126953,,,
6.61,174.46236874,0.0,40,41,1674,152,0.0,0.78,0.009999999776482582,1346,260.11558532714844,0.0003,-137.48953247070312,,,
5.93,184.03598646999995,0.0,39,42,1686,156,0.0,0.82,0.009999999776482582,1370,477.85435485839844,0.0003,-139.61676025390625,,,
5.6,189.06785083000003,0.0,39,42,1698,160,0.0,0.84,0.009999999776482582,1394,405.4080505371094,0.0003,-141.7268829345703,,,
5.8,187.01704034000005,0.0,39,44,1726,164,0.0,0.83,0.009999999776482582,1450,376.71563720703125,0.0003,-140.95687103271484,,,
5.11,196.39163679,0.0,38,44,1737,168,0.0,0.87,0.009999999776482582,1472,334.02618408203125,0.0003,-148.73605346679688,,,
4.42,205.69580269000002,0.0,38,45,1748,172,0.0,0.91,0.009999999776482582,1494,308.68882751464844,0.0003,-146.2119369506836,,,
4.23,207.76142649000002,0.0,38,46,1775,176,0.0,0.92,0.009999999776482582,1548,292.1572570800781,0.0003,-153.22528839111328,,,
4.2,207.19147069,0.0,37,47,1784,180,0.0,0.92,0.009999999776482582,1566,365.0801086425781,0.0003,-155.81807708740234,,,
4.35,204.45911894999998,0.0,37,48,1811,184,0.0,0.91,0.009999999776482582,1620,245.38697814941406,0.0003,-153.98477172851562,,,
4.51,201.91913401,0.0,37,49,1838,188,0.0,0.9,0.009999999776482582,1674,204.6770782470703,0.0003,-164.81780242919922,,,
4.31,203.72091069,0.0,36,49,1847,192,0.0,0.91,0.009999999776482582,1692,189.06134033203125,0.0003,-165.93771362304688,,,
4.3,203.46695422000002,0.0,36,50,1858,196,0.0,0.91,0.009999999776482582,1714,162.42572021484375,0.0003,-165.34158325195312,,,
4.46,200.95269470000002,0.0,36,52,1903,200,0.0,0.9,0.009999999776482582,1804,148.9797134399414,0.0003,-170.75074005126953,,,
4.64,198.43396926000003,0.0,36,53,1932,204,0.0,0.89,0.009999999776482582,1862,162.59622192382812,0.0003,-174.23326110839844,,,
4.62,197.93277554,0.0,35,54,1942,208,0.0,0.89,0.009999999776482582,1882,125.36289978027344,0.0003,-175.20128631591797,,,
4.58,197.26351382000001,0.0,35,54,1950,212,0.0,0.89,0.009999999776482582,1898,133.0017852783203,0.0003,-174.4742202758789,,,
4.57,196.74588523,0.0,35,55,1961,216,0.0,0.89,0.009999999776482582,1920,135.8244171142578,0.0003,-180.18305206298828,,,
4.23,201.23651911000002,0.0,35,55,1973,220,0.0,0.91,0.009999999776482582,1944,114.42565155029297,0.0003,-177.86448669433594,,,
4.42,199.03673966000005,0.0,33,59,2003,224,0.0,0.9,0.009999999776482582,2004,134.508544921875,0.0003,-184.3425064086914,0.85,5.9,188.11826176948668
4.45,198.93410976999996,0.0,33,60,2016,228,0.0,0.9,0.009999999776482582,2030,111.50393676757812,0.0003,-186.4792251586914,,,
4.3,201.19694542999997,0.0,33,60,2029,232,0.0,0.91,0.009999999776482582,2056,103.36004257202148,0.0003,-187.88026428222656,,,
4.29,200.77408557,0.0,33,61,2040,236,0.0,0.91,0.009999999776482582,2078,103.40736770629883,0.0003,-192.0388412475586,,,
4.31,200.60747026,0.0,33,62,2053,240,0.0,0.91,0.009999999776482582,2104,107.47855377197266,0.0003,-193.9631118774414,,,
4.34,200.33473562999998,0.0,32,62,2067,244,0.0,0.91,0.009999999776482582,2132,71.326416015625,0.0003,-192.9531707763672,,,
