time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
51,6080,152,117,0.0,-24.31786118,40.0,0.21791690587997437,-10.26913833618164,0.0003,5079,0.017525987699627876,-14.94886589050293,,,
51,6240,156,120,0.0,-24.52888054,40.0,0.2077053338289261,-10.589898109436035,0.0003,5239,0.018169226124882698,-14.573552131652832,,,
51,6400,160,123,0.0,-24.55663873,40.0,0.1979718953371048,-10.855598449707031,0.0003,5399,0.013474112376570702,-14.27609634399414,,,
51,6560,164,126,0.0,-24.567565790000003,40.0,0.18869462609291077,-11.256328582763672,0.0003,5559,0.015638593584299088,-14.122771263122559,,,
51,6720,168,130,0.0,-24.867043100000004,40.0,0.1798539012670517,-11.524808883666992,0.0003,5719,0.015041761100292206,-13.903806686401367,,,
51,6880,172,133,0.0,-24.691498130000003,40.0,0.17142769694328308,-11.840335845947266,0.0003,5879,0.018190599977970123,-13.617217063903809,,,
51,7040,176,136,0.0,-24.72072596,40.0,0.16339612007141113,-12.178964614868164,0.0003,6039,0.019029421731829643,-13.479986190795898,,,
51,7200,180,139,0.0,-24.70655668,40.0,0.15574081242084503,-12.505538940429688,0.0003,6199,0.02041354775428772,-12.968475341796875,,,
51,7360,184,143,0.0,-24.626032579999997,40.0,0.1484442800283432,-12.829657554626465,0.0003,6359,0.01640728861093521,-12.91330337524414,,,
,7500,,,,,,0.14234095811843872,-13.1631498336792,0.0003,6499,0.017611024901270866,-12.549302101135254,-23.3545242,40.0,0.0
49,7520,188,150,0.0,-24.67941261,40.0,0.14148977398872375,-13.071910858154297,0.0003,6519,0.014098944142460823,-12.054348945617676,,,
49,7680,192,154,0.0,-24.791079519999997,40.0,0.13486260175704956,-13.483725547790527,0.0003,6679,0.015323548577725887,-12.06826400756836,,,
49,7840,196,158,0.0,-24.629577569999995,40.0,0.12854242324829102,-13.778104782104492,0.0003,6839,0.018990900367498398,-11.640106201171875,,,
49,8000,200,161,0.0,-24.681186200000003,40.0,0.12251919507980347,-14.111166000366211,0.0003,6999,0.017387378960847855,-11.207494735717773,,,
