rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/ent_coef,train/critic_loss,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/success_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
6.4753565,4,500,0.0003,0.009999999776482582,3294.01508203125,80,20.0,80,0,0.0,-66.8340574030783,,,
1.3852324999999999,8,,,,,85,20.0,160,1,0.0,,,,
-0.9284780000000001,12,,,,,87,20.0,240,2,0.0,,,,
-1.7959461250000006,16,,,,,89,20.0,320,3,0.0,,,,
-2.6832654000000007,20,,,,,90,20.0,400,4,0.0,,,,
-1.2425830833333336,24,,,,,89,20.0,480,5,0.0,,,,
-1.5384433571428577,28,,,,,89,20.0,560,6,0.0,,,,
-1.9866518750000006,32,,,,,90,20.0,640,7,0.0,,,,
-1.699130305555556,36,,,,,90,20.0,720,7,0.0,,,,
-1.8190777500000004,40,,,,,91,20.0,800,8,0.0,,,,
-2.0199462500000003,44,,,,,90,20.0,880,9,0.0,,,,
-2.4621558125000003,48,,,,,90,20.0,960,10,0.0,,,,
-2.911989211538462,52,578,0.0003,0.009999999776482582,337.30877685546875,85,20.0,1040,12,0.0,-97.76875686645508,,,
8.704168999999998,56,634,0.0003,0.009999999776482582,350.7345275878906,81,19.071428571428573,1068,13,0.05357142857142857,-100.56794357299805,,,
7.528165883333332,60,794,0.0003,0.009999999776482582,205.84002685546875,73,19.133333333333333,1148,15,0.05,-107.27205657958984,,,
13.4902733125,64,886,0.0003,0.009999999776482582,179.14369201660156,68,18.65625,1194,17,0.078125,-109.68305206298828,,,
25.556064220588233,68,912,0.0003,0.009999999776482582,192.43963623046875,66,17.75,1207,18,0.1323529411764706,-110.77587509155273,,,
26.74907452777778,72,1038,0.0003,0.009999999776482582,196.59390258789062,62,17.63888888888889,1270,20,0.1388888888888889,-113.7496223449707,,,
33.766144092105264,76,1096,0.0003,0.009999999776482582,196.174072265625,60,17.092105263157894,1299,21,0.17105263157894737,-118.5846939086914,,,
37.4456078,80,1202,0.0003,0.009999999776482582,261.3866882324219,58,16.9,1352,23,0.1875,-121.98209381103516,,,
37.893963142857146,84,1326,0.0003,0.009999999776482582,242.65310668945312,55,16.833333333333332,1414,25,0.19047619047619047,-128.72863006591797,,,
41.06313597727273,88,1436,0.0003,0.009999999776482582,238.03243255615234,53,16.693181818181817,1469,27,0.20454545454545456,-135.91643524169922,,,
46.26006327173913,92,1494,0.0003,0.009999999776482582,220.31576538085938,52,16.282608695652176,1498,28,0.22826086956521738,-136.71448516845703,,,
51.03582546875,96,1552,0.0003,0.009999999776482582,193.9525146484375,51,15.90625,1527,29,0.25,-143.35919952392578,,,
57.82126639,100,1610,0.0003,0.009999999776482582,235.73441314697266,50,15.56,1556,31,0.28,-136.64038848876953,,,
64.05488353,104,1674,0.0003,0.009999999776482582,249.03665161132812,49,15.08,1588,32,0.31,-141.48351287841797,,,
70.67253135,108,1748,0.0003,0.009999999776482582,187.3926544189453,48,14.65,1625,33,0.34,-149.12938690185547,,,
77.54883472,112,1830,0.0003,0.009999999776482582,210.1830291748047,47,14.26,1666,35,0.37,-149.1125030517578,,,
84.13730090000001,116,1884,0.0003,0.009999999776482582,198.73999786376953,46,13.73,1693,36,0.4,-152.52432250976562,,,
90.77189285000003,120,1956,0.0003,0.009999999776482582,191.63226318359375,46,13.29,1729,37,0.43,-150.77237701416016,,,
99.38058941,124,1994,0.0003,0.009999999776482582,223.8856658935547,45,12.68,1748,38,0.47,-157.484619140625,,,
106.03564297999999,128,2066,0.0003,0.009999999776482582,171.84426879882812,45,12.24,1784,39,0.5,-155.0741958618164,,,
110.37310654999997,132,2166,0.0003,0.009999999776482582,153.4041290283203,44,11.94,1834,41,0.52,-163.71134185791016,,,
116.93560996000001,136,2226,0.0003,0.009999999776482582,132.2367057800293,43,11.44,1864,42,0.55,-163.87554931640625,,,
123.63255568000001,140,2296,0.0003,0.009999999776482582,123.98809051513672,43,10.99,1899,43,0.58,-170.01288604736328,,,
125.67084241999999,144,2420,0.0003,0.009999999776482582,118.66471862792969,42,10.81,1961,45,0.59,-171.0823211669922,,,
127.86491009999997,148,2546,0.0003,0.009999999776482582,94.80276107788086,38,10.64,2024,52,0.6,-170.98267364501953,14.15,70.4396410088039,0.35
132.34889228,152,2638,0.0003,0.009999999776482582,78.9771957397461,38,10.3,2070,54,0.62,-170.7022247314453,,,
127.85146807999999,156,2762,0.0003,0.009999999776482582,71.36556625366211,37,10.64,2132,56,0.6,-173.33218383789062,,,
127.86412594000001,160,2922,0.0003,0.009999999776482582,56.619667053222656,37,10.64,2212,59,0.6,-171.4029998779297,,,
130.40334192,164,2992,0.0003,0.009999999776482582,92.5219497680664,37,10.53,2247,60,0.61,-169.97775268554688,,,
130.46495449000003,168,3016,0.0003,0.009999999776482582,36.121307373046875,36,10.52,2259,61,0.61,-177.65804290771484,,,
128.24713771999998,172,3176,0.0003,0.009999999776482582,74.59822082519531,36,10.69,2339,63,0.6,-175.25724029541016,,,
130.67784713999998,176,3202,0.0003,0.009999999776482582,46.35011863708496,36,10.53,2352,64,0.61,-179.4486312866211,,,
135.49565457999998,180,3232,0.0003,0.009999999776482582,43.49161720275879,36,10.15,2367,65,0.63,-172.27545166015625,,,
135.57615790000003,184,3360,0.0003,0.009999999776482582,63.81052589416504,36,10.17,2431,67,0.63,-172.95088958740234,,,
137.76365476,188,3422,0.0003,0.009999999776482582,80.30160522460938,35,9.93,2462,68,0.64,-168.29691314697266,,,
137.93930522,192,3482,0.0003,0.009999999776482582,35.92392539978027,35,9.94,2492,69,0.64,-174.3794174194336,,,
140.27793827000002,196,3514,0.0003,0.009999999776482582,49.03442192077637,35,9.81,2508,70,0.65,-173.46449279785156,,,
137.79659748000003,200,3568,0.0003,0.009999999776482582,56.00134468078613,35,9.79,2535,71,0.64,-178.6320571899414,,,
137.86695976000001,204,3642,0.0003,0.009999999776482582,55.761634826660156,35,9.84,2572,73,0.64,-168.89051818847656,,,
133.28813191,208,3768,0.0003,0.009999999776482582,54.11991882324219,34,10.1,2635,75,0.62,-177.04590606689453,,,
130.75648569,212,3858,0.0003,0.009999999776482582,38.04220962524414,34,10.14,2680,77,0.61,-166.47457122802734,,,
133.02029127,216,3882,0.0003,0.009999999776482582,45.554840087890625,34,9.99,2692,77,0.62,-169.54820251464844,,,
133.08815917,220,3940,0.0003,0.009999999776482582,66.66476631164551,34,9.92,2721,78,0.62,-174.26802825927734,,,
128.44560968,224,4034,0.0003,0.009999999776482582,45.004737854003906,34,10.2,2768,80,0.6,-169.4345932006836,,,
130.74464054,228,4072,0.0003,0.009999999776482582,34.672953605651855,34,10.03,2787,81,0.61,-165.1407699584961,,,
133.03675987999998,232,4134,0.0003,0.009999999776482582,35.37155532836914,34,9.84,2818,82,0.62,-170.9234161376953,,,
130.63146509,236,4234,0.0003,0.009999999776482582,33.8796329498291,34,10.04,2868,84,0.61,-166.81939697265625,,,
130.51164157000002,240,4300,0.0003,0.009999999776482582,41.30221462249756,33,10.02,2901,85,0.61,-170.44146728515625,,,
137.53909008,244,4336,0.0003,0.009999999776482582,42.65741539001465,33,9.58,2919,86,0.64,-177.31845092773438,,,
139.85020088000002,248,4428,0.0003,0.009999999776482582,42.23445129394531,33,9.41,2965,88,0.65,-166.64618682861328,,,
139.94916912,252,4524,0.0003,0.009999999776482582,35.77476978302002,33,9.43,3013,90,0.65,-169.3497085571289,,,
147.01732714,256,4560,0.0003,0.009999999776482582,30.710336685180664,33,8.99,3031,90,0.68,-172.2098617553711,,,
156.34161492000004,260,4602,0.0003,0.009999999776482582,41.02863311767578,33,8.4,3052,91,0.72,-168.26815032958984,,,
156.08659014,264,4664,0.0003,0.009999999776482582,36.47549343109131,33,8.36,3083,93,0.72,-167.59160614013672,,,
153.78276423,268,4728,0.0003,0.009999999776482582,44.66481590270996,33,8.56,3115,94,0.71,-175.57167053222656,,,
160.68744149,272,4806,0.0003,0.009999999776482582,32.584256172180176,33,8.15,3154,95,0.74,-176.23097229003906,,,
160.47025937,276,4858,0.0003,0.009999999776482582,39.31612586975098,32,8.28,3180,96,0.74,-173.74749755859375,,,
