time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,time/fps,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
0,4,16.5,66,0.25,72,60.083805000000005,,,,,
1,8,18.25,146,0.125,84,29.24747225,,,,,
2,12,18.833333333333332,226,0.08333333333333333,88,19.078998083333335,,,,,
3,16,19.125,306,0.0625,89,13.908926312500002,,,,,
4,20,18.65,373,0.1,89,21.3990137,,,,,
5,24,18.875,453,0.08333333333333333,87,20.12757625,,,,,
6,28,19.035714285714285,533,0.07142857142857142,88,16.379711642857142,,,,,
6,32,19.15625,613,0.0625,89,13.4986041875,,,,,
7,36,19.25,693,0.05555555555555555,90,11.563694638888888,,,,,
8,40,19.325,773,0.05,90,10.205966675000003,,,,,
9,44,19.386363636363637,853,0.045454545454545456,91,8.723659340909093,,,,,
10,48,19.4375,933,0.041666666666666664,91,7.4712224166666665,,,,,
11,52,19.48076923076923,1013,0.038461538461538464,88,7.415052865384616,0.009999999776482582,24,0.0003,0.8196166157722473,-0.18747010827064514
13,56,19.517857142857142,1093,0.03571428571428571,79,6.259616196428572,0.009999999776482582,184,0.0003,80.72299772500992,-1.7937568426132202
15,60,18.966666666666665,1138,0.06666666666666667,75,12.8116504,0.009999999776482582,274,0.0003,74.82370924949646,-3.190116763114929
15,64,17.90625,1146,0.125,73,25.47627678125,0.009999999776482582,290,0.0003,5.503612995147705,-5.3674633502960205
17,68,18.029411764705884,1226,0.11764705882352941,69,23.446491985294116,0.009999999776482582,450,0.0003,199.4529571533203,-22.731197357177734
19,72,18.13888888888889,1306,0.1111111111111111,65,21.644173125,0.009999999776482582,610,0.0003,145.22956085205078,-20.55399990081787
21,76,17.789473684210527,1352,0.13157894736842105,63,26.169388289473684,0.009999999776482582,702,0.0003,209.19994354248047,-37.76034736633301
21,80,17.05,1364,0.175,62,36.329692662499994,0.009999999776482582,726,0.0003,371.52667236328125,-45.141075134277344
22,84,16.38095238095238,1376,0.21428571428571427,61,45.520560380952375,0.009999999776482582,750,0.0003,324.0065002441406,-50.00593566894531
22,88,15.761363636363637,1387,0.25,60,53.649009,0.009999999776482582,772,0.0003,420.9971008300781,-54.579349517822266
24,92,15.391304347826088,1416,0.2717391304347826,58,58.72718048913043,0.009999999776482582,830,0.0003,335.17616271972656,-70.34807205200195
24,96,14.875,1428,0.3020833333333333,58,65.7574075,0.009999999776482582,854,0.0003,417.8601989746094,-67.80338668823242
25,100,14.57,1457,0.32,56,69.84477217,0.009999999776482582,912,0.0003,371.9791717529297,-82.08863830566406
26,104,14.02,1468,0.35,56,76.48056578,0.009999999776482582,934,0.0003,333.5699768066406,-83.59300994873047
26,108,13.34,1480,0.39,55,85.69065555000002,0.009999999776482582,958,0.0003,287.1498260498047,-90.32157135009766
27,112,12.66,1492,0.43,54,94.86059211000001,0.009999999776482582,982,0.0003,302.51878356933594,-98.27034378051758
27,116,11.98,1504,0.47,54,104.11946028,0.009999999776482582,1006,0.0003,322.17529296875,-99.54005813598633
29,120,11.77,1550,0.48,52,106.38002097999997,0.009999999776482582,1098,0.0003,355.6016387939453,-108.56005477905273
29,124,11.08,1561,0.52,52,114.78169997,0.009999999776482582,1120,0.0003,296.0852355957031,-111.441162109375
30,128,10.38,1571,0.56,51,123.85768460999999,0.009999999776482582,1140,0.0003,496.17478942871094,-117.72774505615234
31,132,9.86,1599,0.59,50,130.75181937000002,0.009999999776482582,1196,0.0003,398.0463562011719,-119.48512268066406
32,136,9.18,1611,0.63,50,140.02593473000002,0.009999999776482582,1220,0.0003,393.78883361816406,-121.63779067993164
32,140,8.49,1622,0.67,49,149.14007021999998,0.009999999776482582,1242,0.0003,337.37108612060547,-124.07658386230469
33,144,7.8,1633,0.71,49,158.42268124000003,0.009999999776482582,1264,0.0003,386.935546875,-127.67227554321289
34,148,7.29,1662,0.74,48,165.50565420000004,0.009999999776482582,1322,0.0003,364.8535614013672,-127.57495880126953
34,152,6.61,1674,0.78,48,174.46236874,0.009999999776482582,1346,0.0003,260.11558532714844,-137.48953247070312
35,156,5.93,1686,0.82,47,184.03598646999995,0.009999999776482582,1370,0.0003,477.85435485839844,-139.61676025390625
35,160,5.6,1698,0.84,47,189.06785083000003,0.009999999776482582,1394,0.0003,405.4080505371094,-141.7268829345703
36,164,5.8,1726,0.83,46,187.01704034000005,0.009999999776482582,1450,0.0003,376.71563720703125,-140.95687103271484
37,168,5.11,1737,0.87,46,196.39163679,0.009999999776482582,1472,0.0003,334.02618408203125,-148.73605346679688
37,172,4.42,1748,0.91,46,205.69580269000002,0.009999999776482582,1494,0.0003,308.68882751464844,-146.2119369506836
38,176,4.23,1775,0.92,45,207.76142649000002,0.009999999776482582,1548,0.0003,292.1572570800781,-153.22528839111328
39,180,4.2,1784,0.92,45,207.19147069,0.009999999776482582,1566,0.0003,365.0801086425781,-155.81807708740234
40,184,4.35,1811,0.91,45,204.45911894999998,0.009999999776482582,1620,0.0003,245.38697814941406,-153.98477172851562
41,188,4.51,1838,0.9,44,201.91913401,0.009999999776482582,1674,0.0003,204.6770782470703,-164.81780242919922
41,192,4.31,1847,0.91,44,203.72091069,0.009999999776482582,1692,0.0003,189.06134033203125,-165.93771362304688
42,196,4.3,1858,0.91,44,203.46695422000002,0.009999999776482582,1714,0.0003,162.42572021484375,-165.34158325195312
43,200,4.46,1903,0.9,43,200.95269470000002,0.009999999776482582,1804,0.0003,148.9797134399414,-170.75074005126953
44,204,4.64,1932,0.89,43,198.43396926000003,0.009999999776482582,1862,0.0003,162.59622192382812,-174.23326110839844
45,208,4.62,1942,0.89,42,197.93277554,0.009999999776482582,1882,0.0003,125.36289978027344,-175.20128631591797
45,212,4.58,1950,0.89,42,197.26351382000001,0.009999999776482582,1898,0.0003,133.0017852783203,-174.4742202758789
46,216,4.57,1961,0.89,42,196.74588523,0.009999999776482582,1920,0.0003,135.8244171142578,-180.18305206298828
46,220,4.23,1973,0.91,42,201.23651911000002,0.009999999776482582,1944,0.0003,114.42565155029297,-177.86448669433594
