curriculum/randomize_probability,time/fps,rollout/success_rate,curriculum/stage_index,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.0,43,0.9,0.0,4.46,43,200.95269470000002,200,1903,0.0003,0.009999999776482582,-170.75074005126953,148.9797134399414,1804,,,
0.0,43,0.89,0.0,4.64,44,198.43396926000003,204,1932,0.0003,0.009999999776482582,-174.23326110839844,162.59622192382812,1862,,,
0.0,43,0.89,0.0,4.62,44,197.93277554,208,1942,0.0003,0.009999999776482582,-175.20128631591797,125.36289978027344,1882,,,
0.0,43,0.89,0.0,4.58,45,197.26351382000001,212,1950,0.0003,0.009999999776482582,-174.4742202758789,133.0017852783203,1898,,,
0.0,42,0.89,0.0,4.57,45,196.74588523,216,1961,0.0003,0.009999999776482582,-180.18305206298828,135.8244171142578,1920,,,
0.0,42,0.91,0.0,4.23,46,201.23651911000002,220,1973,0.0003,0.009999999776482582,-177.86448669433594,114.42565155029297,1944,,,
0.0,40,0.9,0.0,4.42,49,199.03673966000005,224,2003,0.0003,0.009999999776482582,-184.3425064086914,134.508544921875,2004,5.9,0.85,188.11826176948668
0.0,40,0.9,0.0,4.45,50,198.93410976999996,228,2016,0.0003,0.009999999776482582,-186.4792251586914,111.50393676757812,2030,,,
0.0,39,0.91,0.0,4.3,50,201.19694542999997,232,2029,0.0003,0.009999999776482582,-187.88026428222656,103.36004257202148,2056,,,
0.0,39,0.91,0.0,4.29,51,200.77408557,236,2040,0.0003,0.009999999776482582,-192.0388412475586,103.40736770629883,2078,,,
0.0,39,0.91,0.0,4.31,51,200.60747026,240,2053,0.0003,0.009999999776482582,-193.9631118774414,107.47855377197266,2104,,,
0.0,39,0.91,0.0,4.34,52,200.33473562999998,244,2067,0.0003,0.009999999776482582,-192.9531707763672,71.326416015625,2132,,,
0.0,39,0.91,0.0,4.33,53,200.01855545,248,2095,0.0003,0.009999999776482582,-192.18243408203125,81.37264633178711,2188,,,
0.0,39,0.91,0.0,4.31,53,199.44275298,252,2105,0.0003,0.009999999776482582,-194.569091796875,64.80782699584961,2208,,,
0.0,38,0.91,0.0,4.31,54,198.93028166,256,2117,0.0003,0.009999999776482582,-192.03351593017578,61.19636535644531,2232,,,
0.0,38,0.91,0.0,4.3,54,198.38314294999998,260,2128,0.0003,0.009999999776482582,-199.22437286376953,73.86886024475098,2254,,,
0.0,38,0.92,0.0,4.13,55,200.4084561,264,2139,0.0003,0.009999999776482582,-197.22295379638672,72.97928619384766,2276,,,
0.0,38,0.91,0.0,4.29,56,197.76009401999997,268,2166,0.0003,0.009999999776482582,-198.36772918701172,83.75911331176758,2330,,,
0.0,38,0.91,0.0,4.34,57,197.89266886999997,272,2182,0.0003,0.009999999776482582,-200.96710968017578,77.4189682006836,2362,,,
0.0,38,0.92,0.0,4.17,57,200.20854521,276,2192,0.0003,0.009999999776482582,-203.09754180908203,59.99937057495117,2382,,,
0.0,37,0.92,0.0,4.2,58,200.42540637,280,2204,0.0003,0.009999999776482582,-202.3436279296875,69.05651664733887,2406,,,
0.0,37,0.91,0.0,4.37,59,198.2893581,284,2248,0.0003,0.009999999776482582,-202.57176971435547,68.14899826049805,2494,,,
0.0,37,0.91,0.0,4.42,60,198.35562704000003,288,2280,0.0003,0.009999999776482582,-201.43669891357422,60.72859001159668,2558,,,
0.0,37,0.9,0.0,4.59,61,196.11289440000002,292,2306,0.0003,0.009999999776482582,-202.13410186767578,50.18867301940918,2610,,,
0.0,37,0.9,0.0,4.56,62,195.87949797000002,296,2314,0.0003,0.009999999776482582,-200.87337493896484,51.33068656921387,2626,,,
0.0,37,0.92,0.0,4.23,62,200.21292066,300,2326,0.0003,0.009999999776482582,-200.14327239990234,53.51962852478027,2650,,,
0.0,36,0.93,0.0,4.02,63,202.32005294,304,2334,0.0003,0.009999999776482582,-202.71001434326172,42.99020004272461,2666,,,
0.0,36,0.93,0.0,4.08,63,202.74144674,308,2350,0.0003,0.009999999776482582,-202.23504638671875,52.2009334564209,2698,,,
0.0,36,0.92,0.0,4.26,64,200.67178991000003,312,2376,0.0003,0.009999999776482582,-204.45671844482422,51.45403289794922,2750,,,
0.0,36,0.92,0.0,4.27,65,200.64708396000003,316,2388,0.0003,0.009999999776482582,-206.47525787353516,62.13881874084473,2774,,,
0.0,36,0.92,0.0,4.23,65,200.45772867,320,2396,0.0003,0.009999999776482582,-200.80189514160156,64.24552917480469,2790,,,
0.0,36,0.93,0.0,4.01,66,202.33291900999996,324,2404,0.0003,0.009999999776482582,-200.8330841064453,58.24684143066406,2806,,,
0.0,36,0.93,0.0,3.96,66,202.21141237,328,2412,0.0003,0.009999999776482582,-205.61819458007812,56.23659133911133,2822,,,
0.0,36,0.93,0.0,3.91,67,201.95336043999998,332,2420,0.0003,0.009999999776482582,-203.1849136352539,63.97214317321777,2838,,,
0.0,35,0.93,0.0,3.9,67,201.91142223999995,336,2430,0.0003,0.009999999776482582,-202.89517974853516,64.22147941589355,2858,,,
0.0,35,0.92,0.0,4.08,68,199.57331622,340,2461,0.0003,0.009999999776482582,-207.83929443359375,86.2017593383789,2920,,,
0.0,35,0.92,0.0,4.26,70,199.89728209999998,344,2493,0.0003,0.009999999776482582,-209.31796264648438,84.8595962524414,2984,,,
0.0,35,0.93,0.0,4.28,71,202.44980614999997,348,2523,0.0003,0.009999999776482582,-209.01158142089844,87.57416915893555,3044,,,
0.0,35,0.93,0.0,4.44,72,202.80875421000002,352,2549,0.0003,0.009999999776482582,-211.28927612304688,70.82612228393555,3096,,,
0.0,35,0.92,0.0,4.64,73,200.71130309,356,2581,0.0003,0.009999999776482582,-208.23519134521484,74.76128768920898,3160,,,
0.0,35,0.92,0.0,4.82,74,200.79330154,360,2610,0.0003,0.009999999776482582,-212.4341049194336,74.06174850463867,3218,,,
0.0,34,0.92,0.0,4.91,75,201.01273677000006,364,2630,0.0003,0.009999999776482582,-209.17840576171875,82.51964950561523,3258,,,
0.0,34,0.93,0.0,4.78,75,203.39268016999998,368,2644,0.0003,0.009999999776482582,-212.0802001953125,84.72118377685547,3286,,,
0.0,34,0.93,0.0,4.82,76,203.08904868000005,372,2664,0.0003,0.009999999776482582,-213.29580688476562,106.16225814819336,3326,,,
0.0,34,0.93,0.0,4.85,77,203.06146764000002,376,2677,0.0003,0.009999999776482582,-215.0396499633789,111.82692337036133,3352,,,
0.0,34,0.93,0.0,4.91,78,203.04303883,380,2695,0.0003,0.009999999776482582,-216.64583587646484,102.71855926513672,3388,,,
0.0,34,0.95,0.0,4.62,78,207.43204901000001,384,2710,0.0003,0.009999999776482582,-213.44939422607422,104.07492065429688,3418,,,
0.0,34,0.96,0.0,4.53,79,209.80793577,388,2733,0.0003,0.009999999776482582,-212.30789184570312,101.135986328125,3464,,,
0.0,34,0.97,0.0,4.47,80,212.24078274,392,2753,0.0003,0.009999999776482582,-212.51139068603516,78.27291870117188,3504,,,
0.0,34,0.97,0.0,4.51,80,212.18795952,396,2765,0.0003,0.009999999776482582,-213.51931762695312,117.35470581054688,3528,,,
0.0,34,0.97,0.0,4.64,81,212.31527344999995,400,2790,0.0003,0.009999999776482582,-216.97286987304688,84.99687957763672,3578,,,
0.0,34,0.97,0.0,4.72,82,212.56916939,404,2806,0.0003,0.009999999776482582,-209.6211395263672,103.15039825439453,3610,,,
0.0,33,0.97,0.0,4.72,83,212.39552874,408,2822,0.0003,0.009999999776482582,-215.64417266845703,94.89517211914062,3642,,,
0.0,33,0.98,0.0,4.64,83,214.93024718,412,2840,0.0003,0.009999999776482582,-216.19776916503906,108.74848175048828,3678,,,
0.0,33,0.98,0.0,5.04,85,215.98245571000004,416,2892,0.0003,0.009999999776482582,-212.9829864501953,77.30948257446289,3782,,,
0.0,33,0.95,0.0,5.74,88,211.14841216000005,420,2970,0.0003,0.009999999776482582,-213.71835327148438,80.56797409057617,3938,,,
0.0,33,0.93,0.0,6.39,90,208.22114217,424,3043,0.0003,0.009999999776482582,-215.72542572021484,77.7376708984375,4084,,,
0.0,33,0.93,0.0,6.6,91,209.06614646000003,428,3072,0.0003,0.009999999776482582,-216.72445678710938,83.28746795654297,4142,,,
0.0,33,0.93,0.0,6.74,92,209.55601692,432,3094,0.0003,0.009999999776482582,-216.46090698242188,98.87467956542969,4186,,,
0.0,33,0.92,0.0,7.01,93,207.67269617999997,436,3131,0.0003,0.009999999776482582,-216.29750061035156,95.66919326782227,4260,,,
0.0,33,0.93,0.0,6.99,94,210.39806563000002,440,3160,0.0003,0.009999999776482582,-213.17247772216797,74.56573104858398,4318,,,
0.0,33,0.93,0.0,7.01,95,210.65352517,444,3194,0.0003,0.009999999776482582,-218.0941925048828,102.62426376342773,4386,,,
0.0,33,0.93,0.0,7.08,96,211.10987989999998,448,3231,0.0003,0.009999999776482582,-215.6978759765625,66.35923194885254,4460,,,
0.0,33,0.92,0.0,7.32,98,209.89688185,452,3281,0.0003,0.009999999776482582,-219.11190032958984,77.28279113769531,4560,,,
0.0,33,0.89,0.0,7.8,101,204.91475641,456,3361,0.0003,0.009999999776482582,-224.66268157958984,66.88793182373047,4720,,,
0.0,33,0.85,0.0,8.31,103,197.29887148,460,3441,0.0003,0.009999999776482582,-229.48914337158203,52.052391052246094,4880,,,
0.0,33,0.81,0.0,8.91,106,189.12531740999998,464,3521,0.0003,0.009999999776482582,-229.10348510742188,53.23408317565918,5040,,,
0.0,33,0.77,0.0,9.57,108,181.98034223000002,468,3601,0.0003,0.009999999776482582,-232.76397705078125,59.846391677856445,5200,,,
0.0,33,0.73,0.0,10.17,111,173.88622930000002,472,3681,0.0003,0.009999999776482582,-232.8270263671875,44.74643135070801,5360,,,
0.0,33,0.69,0.0,10.84,113,164.96390296,476,3761,0.0003,0.009999999776482582,-237.33824157714844,42.57756996154785,5520,,,
0.0,33,0.65,0.0,11.46,116,156.00128533999998,480,3841,0.0003,0.009999999776482582,-243.06460571289062,46.60878944396973,5680,,,
0.0,33,0.61,0.0,12.11,118,147.09959128,484,3921,0.0003,0.009999999776482582,-242.55855560302734,80.12737655639648,5840,,,
0.0,31,0.57,0.0,12.68,126,138.01881740000002,488,4001,0.0003,0.009999999776482582,-248.80613708496094,66.369140625,6000,20.0,0.0,-5.4361639517219995
0.0,31,0.53,0.0,13.28,128,129.31347468,492,4081,0.0003,0.009999999776482582,-249.7254638671875,52.686485290527344,6160,,,
0.0,31,0.49,0.0,13.96,131,120.53508003000003,496,4161,0.0003,0.009999999776482582,-249.45254516601562,56.7639102935791,6320,,,
0.0,31,0.45,0.0,14.51,133,111.94043821000002,500,4241,0.0003,0.009999999776482582,-247.9454116821289,77.46420288085938,6480,,,
0.0,31,0.41,0.0,15.15,135,102.87928583000001,504,4321,0.0003,0.009999999776482582,-254.44247436523438,80.51567840576172,6640,,,
0.0,31,0.37,0.0,15.79,138,94.22671558000002,508,4401,0.0003,0.009999999776482582,-255.94386291503906,86.89916229248047,6800,,,
0.0,31,0.33,0.0,16.41,140,86.47860694,512,4481,0.0003,0.009999999776482582,-259.4066162109375,90.71234893798828,6960,,,
0.0,31,0.29,0.0,16.69,143,78.37391634000001,516,4561,0.0003,0.009999999776482582,-258.1826477050781,78.18798446655273,7120,,,
0.0,31,0.28,0.0,16.71,145,75.67326196,520,4641,0.0003,0.009999999776482582,-262.03875732421875,88.81952285766602,7280,,,
