rollout/success_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/n_updates
0.02,221,4610,292,-21.489489559999996,15.82,20,,,,0.0003,0.34920820593833923,2.7403836250305176,12.183858871459961,-5.972082138061523,3609
0.02,224,4674,296,-21.47775258,15.82,20,,,,0.0003,0.3430352509021759,9.884623527526855,82.78050231933594,-6.135989665985107,3673
0.02,227,4738,300,-21.629908890000003,15.82,20,,,,0.0003,0.33694979548454285,8.108585357666016,105.98963165283203,-5.83318567276001,3737
0.02,230,4802,304,-22.146907280000004,15.82,20,,,,0.0003,0.33097556233406067,8.861376762390137,4.881916046142578,-6.065744400024414,3801
0.02,233,4866,308,-21.67489892,15.82,20,,,,0.0003,0.32512935996055603,6.752625465393066,10.885109901428223,-6.1452202796936035,3865
0.02,236,4930,312,-22.113017330000005,15.82,20,,,,0.0003,0.31950342655181885,17.90695571899414,5.775846481323242,-6.0287628173828125,3929
0.02,239,4994,316,-21.98886688,15.82,20,,,,0.0003,0.3139120936393738,5.643729209899902,7.23577356338501,-6.398056507110596,3993
,,5000,,,,,16.0,0.0,-21.3664422,0.0003,0.3133910298347473,12.378862380981445,11.744972229003906,-5.988300800323486,3999
0.02,247,5058,320,-22.119379740000003,15.82,20,,,,0.0003,0.3085228502750397,5.540638446807861,5.448260307312012,-6.375692844390869,4057
0.02,251,5122,324,-21.97027836,15.82,20,,,,0.0003,0.30315905809402466,11.500848770141602,16.50247573852539,-6.573358535766602,4121
0.01,254,5186,328,-22.286031970000003,15.91,20,,,,0.0003,0.2979126274585724,7.084488391876221,7.696340560913086,-6.543237686157227,4185
0.01,257,5250,332,-22.518338249999996,15.91,20,,,,0.0003,0.29273661971092224,12.179057121276855,105.41669464111328,-6.148306369781494,4249
0.01,260,5314,336,-22.453732519999996,15.91,20,,,,0.0003,0.28766512870788574,17.525203704833984,24.870590209960938,-6.326728820800781,4313
0.01,263,5378,340,-22.02521937,15.91,20,,,,0.0003,0.2826743423938751,7.116402626037598,121.86299133300781,-6.54186487197876,4377
0.01,266,5442,344,-22.006579439999996,15.91,20,,,,0.0003,0.277729332447052,10.09807300567627,15.435789108276367,-6.567389965057373,4441
0.01,269,5506,348,-22.041368249999994,15.91,20,,,,0.0003,0.2729111909866333,14.500335693359375,12.915838241577148,-6.530356407165527,4505
0.01,272,5570,352,-21.88771761,15.91,20,,,,0.0003,0.2682526707649231,15.688545227050781,11.544111251831055,-6.210361957550049,4569
0.01,275,5634,356,-21.70854912,15.91,20,,,,0.0003,0.26363712549209595,10.852279663085938,135.40599060058594,-6.39496374130249,4633
0.01,279,5698,360,-21.81099807,15.91,20,,,,0.0003,0.2591559886932373,20.73838996887207,15.85743236541748,-5.658640384674072,4697
0.01,282,5762,364,-21.69566818,15.91,20,,,,0.0003,0.25491249561309814,9.301922798156738,10.452569961547852,-6.974130630493164,4761
