time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/fps,train/ent_coef,rollout/success_rate,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate
161,-4.18047768,10516,32.0,47,0.009999999776482582,0.0,-67.15910339355469,0.45597976446151733,252,0.0003,7617,,,
163,-4.411298679999999,10644,32.0,47,0.009999999776482582,0.0,-67.97348022460938,2.304875373840332,256,0.0003,7745,,,
165,-4.479751070000001,10772,32.0,47,0.009999999776482582,0.0,-67.02124786376953,2.4641027450561523,260,0.0003,7873,,,
173,-4.5014153,10900,32.0,46,0.009999999776482582,0.0,-68.4285888671875,1.2247012853622437,264,0.0003,8001,32.0,-8.776036161736767,0.0
175,-4.20726745,11028,32.0,46,0.009999999776482582,0.0,-67.50569915771484,6.57503604888916,268,0.0003,8129,,,
177,-3.6381977599999997,11156,32.0,46,0.009999999776482582,0.0,-67.62800598144531,1.287444829940796,272,0.0003,8257,,,
179,-3.6077668700000003,11284,32.0,46,0.009999999776482582,0.0,-66.6392822265625,0.5688204765319824,276,0.0003,8385,,,
181,-3.00897311,11412,32.0,46,0.009999999776482582,0.0,-67.76139068603516,3.8949289321899414,280,0.0003,8513,,,
183,-3.00414673,11540,32.0,47,0.009999999776482582,0.0,-68.6302490234375,0.9126365184783936,284,0.0003,8641,,,
185,-2.43857892,11668,32.0,47,0.009999999776482582,0.0,-67.06208801269531,3.363330125808716,288,0.0003,8769,,,
187,-2.1053688699999995,11796,32.0,47,0.009999999776482582,0.0,-67.90116882324219,6.263321876525879,292,0.0003,8897,,,
196,-1.7868919500000002,11924,32.0,46,0.009999999776482582,0.0,-66.96489715576172,17.937007904052734,296,0.0003,9025,32.0,4.209262255539907,0.0
198,-1.4311621600000004,12052,32.0,46,0.009999999776482582,0.0,-68.61963653564453,3.419379472732544,300,0.0003,9153,,,
200,-0.93072632,12180,32.0,46,0.009999999776482582,0.0,-65.76799774169922,4.907567501068115,304,0.0003,9281,,,
201,-0.6693267699999995,12308,32.0,46,0.009999999776482582,0.0,-67.53022766113281,0.5629041194915771,308,0.0003,9409,,,
204,-0.16626202999999998,12436,32.0,46,0.009999999776482582,0.0,-65.44212341308594,3.451188564300537,312,0.0003,9537,,,
206,0.1301751599999999,12564,32.0,46,0.009999999776482582,0.0,-66.15733337402344,2.9785709381103516,316,0.0003,9665,,,
208,0.021970919999999852,12692,32.0,47,0.009999999776482582,0.0,-67.59281921386719,1.302128553390503,320,0.0003,9793,,,
209,-0.01651585000000015,12820,32.0,47,0.009999999776482582,0.0,-67.60610961914062,1.4267773628234863,324,0.0003,9921,,,
218,0.37121975999999995,12948,32.0,46,0.009999999776482582,0.0,-66.67725372314453,2.625549554824829,328,0.0003,10049,32.0,3.5282765773065363,0.0
220,-0.1657587000000001,13076,32.0,46,0.009999999776482582,0.0,-64.7857894897461,0.7627921104431152,332,0.0003,10177,,,
222,0.8517741699999998,13204,32.0,46,0.009999999776482582,0.0,-68.93678283691406,0.21481101214885712,336,0.0003,10305,,,
224,1.04665402,13332,32.0,46,0.009999999776482582,0.0,-65.50190734863281,0.7446699142456055,340,0.0003,10433,,,
226,1.6424672700000003,13460,32.0,46,0.009999999776482582,0.0,-68.07716369628906,1.5438306331634521,344,0.0003,10561,,,
228,1.6724340100000001,13588,32.0,46,0.009999999776482582,0.0,-68.33052062988281,1.0371623039245605,348,0.0003,10689,,,
230,3.3552240800000006,13716,32.0,46,0.009999999776482582,0.0,-67.3965072631836,0.9161865711212158,352,0.0003,10817,,,
232,4.30919691,13844,32.0,47,0.009999999776482582,0.0,-67.11039733886719,2.727118968963623,356,0.0003,10945,,,
240,4.57265587,13972,32.0,46,0.009999999776482582,0.0,-65.08088684082031,1.8749077320098877,360,0.0003,11073,32.0,2.9919918796468217,0.0
242,5.092702060000001,14100,32.0,46,0.009999999776482582,0.0,-67.85733795166016,0.567328929901123,364,0.0003,11201,,,
244,4.661520560000001,14228,32.0,46,0.009999999776482582,0.0,-66.976318359375,0.5732673406600952,368,0.0003,11329,,,
246,4.2156961100000006,14356,32.0,46,0.009999999776482582,0.0,-66.92012786865234,4.091007232666016,372,0.0003,11457,,,
248,4.49857259,14484,32.0,46,0.009999999776482582,0.0,-64.90695190429688,3.2594962120056152,376,0.0003,11585,,,
250,4.934221000000001,14612,32.0,46,0.009999999776482582,0.0,-66.78235626220703,0.24819062650203705,380,0.0003,11713,,,
252,3.9373580700000006,14740,32.0,46,0.009999999776482582,0.0,-68.1433334350586,3.7456629276275635,384,0.0003,11841,,,
255,3.317232599999999,14868,32.0,46,0.009999999776482582,0.0,-63.78350067138672,1.5431647300720215,388,0.0003,11969,,,
263,3.29932781,14996,32.0,45,0.009999999776482582,0.0,-64.17284393310547,0.8525645732879639,392,0.0003,12097,32.0,-0.45849888729602306,0.0
265,2.02242186,15124,32.0,45,0.009999999776482582,0.0,-64.79391479492188,0.4549848437309265,396,0.0003,12225,,,
268,1.8023673899999995,15252,32.0,46,0.009999999776482582,0.0,-64.3584213256836,0.5535081624984741,400,0.0003,12353,,,
270,1.2033643199999997,15380,32.0,46,0.009999999776482582,0.0,-66.50450134277344,1.1873042583465576,404,0.0003,12481,,,
272,0.8920026400000001,15508,32.0,46,0.009999999776482582,0.0,-64.00559997558594,4.5959792137146,408,0.0003,12609,,,
274,0.03672124999999991,15636,32.0,46,0.009999999776482582,0.0,-67.13629913330078,1.611283540725708,412,0.0003,12737,,,
276,-0.7184211799999999,15764,32.0,46,0.009999999776482582,0.0,-66.00572204589844,0.7423484325408936,416,0.0003,12865,,,
278,-0.8953717800000001,15892,32.0,46,0.009999999776482582,0.0,-64.80388641357422,3.9407730102539062,420,0.0003,12993,,,
288,-1.2797006100000001,16020,32.0,45,0.009999999776482582,0.0,-63.01213836669922,1.8253934383392334,424,0.0003,13121,32.0,0.7271211908037302,0.0
290,-1.30297509,16148,32.0,45,0.009999999776482582,0.0,-64.80720520019531,2.829063892364502,428,0.0003,13249,,,
292,-0.37692233999999997,16276,32.0,45,0.009999999776482582,0.0,-61.84407043457031,2.6547162532806396,432,0.0003,13377,,,
294,-1.3155369199999998,16404,32.0,45,0.009999999776482582,0.0,-65.08246612548828,0.4370795488357544,436,0.0003,13505,,,
296,-1.9793444000000002,16532,32.0,45,0.009999999776482582,0.0,-63.862831115722656,0.7001553177833557,440,0.0003,13633,,,
298,-2.63034864,16660,32.0,46,0.009999999776482582,0.0,-64.65863037109375,2.3994622230529785,444,0.0003,13761,,,
301,-2.43921427,16788,32.0,46,0.009999999776482582,0.0,-64.31747436523438,2.205125331878662,448,0.0003,13889,,,
309,-2.6516911500000004,16916,32.0,45,0.009999999776482582,0.0,-63.674835205078125,2.6469008922576904,452,0.0003,14017,32.0,5.55284421807059,0.0
311,-2.60401867,17044,32.0,45,0.009999999776482582,0.0,-63.87263488769531,2.201380968093872,456,0.0003,14145,,,
313,-2.4031685799999996,17172,32.0,45,0.009999999776482582,0.0,-65.3476333618164,2.8421096801757812,460,0.0003,14273,,,
316,-2.1742679600000003,17300,32.0,45,0.009999999776482582,0.0,-63.85289764404297,6.110390663146973,464,0.0003,14401,,,
318,-2.38640129,17428,32.0,45,0.009999999776482582,0.0,-63.84391403198242,8.108409881591797,468,0.0003,14529,,,
320,-1.4250968199999996,17556,32.0,45,0.009999999776482582,0.0,-66.38683319091797,1.1573731899261475,472,0.0003,14657,,,
322,-1.42538039,17684,32.0,45,0.009999999776482582,0.0,-61.470802307128906,1.8498135805130005,476,0.0003,14785,,,
324,-1.63223479,17812,32.0,45,0.009999999776482582,0.0,-62.054901123046875,1.0418281555175781,480,0.0003,14913,,,
332,-1.1703490899999998,17940,32.0,45,0.009999999776482582,0.0,-64.86698913574219,0.23258696496486664,484,0.0003,15041,32.0,5.403319870373493,0.0
334,-0.9518889500000001,18068,32.0,45,0.009999999776482582,0.0,-66.27820587158203,0.4511701464653015,488,0.0003,15169,,,
336,-2.17097843,18196,32.0,45,0.009999999776482582,0.0,-65.08039093017578,0.6404989957809448,492,0.0003,15297,,,
338,-2.0291999300000003,18324,32.0,45,0.009999999776482582,0.0,-60.89956283569336,1.3648622035980225,496,0.0003,15425,,,
341,-1.1273287600000002,18452,32.0,45,0.009999999776482582,0.0,-62.09761428833008,0.6444865465164185,500,0.0003,15553,,,
343,-0.49679050000000013,18580,32.0,45,0.009999999776482582,0.0,-61.428585052490234,0.599805474281311,504,0.0003,15681,,,
345,-0.15957975000000008,18708,32.0,45,0.009999999776482582,0.0,-63.29381561279297,1.1260132789611816,508,0.0003,15809,,,
347,0.15380327999999976,18836,32.0,45,0.009999999776482582,0.0,-61.17865753173828,0.8432302474975586,512,0.0003,15937,,,
356,0.8557283099999998,18964,32.0,45,0.009999999776482582,0.0,-59.45491027832031,6.301694869995117,516,0.0003,16065,32.0,6.663013539922076,0.0
358,1.14597506,19092,32.0,45,0.009999999776482582,0.0,-62.22325897216797,1.9491467475891113,520,0.0003,16193,,,
360,1.4190590400000003,19220,32.0,45,0.009999999776482582,0.0,-60.65400695800781,4.297840118408203,524,0.0003,16321,,,
363,1.5144131499999998,19348,32.0,45,0.009999999776482582,0.0,-61.98358154296875,0.9086311459541321,528,0.0003,16449,,,
365,1.0755681900000003,19476,32.0,45,0.009999999776482582,0.0,-61.95803451538086,1.1683169603347778,532,0.0003,16577,,,
367,1.6939980700000001,19604,32.0,45,0.009999999776482582,0.0,-60.644901275634766,0.3630135655403137,536,0.0003,16705,,,
369,3.0079725900000005,19732,32.0,45,0.009999999776482582,0.0,-64.11050415039062,8.17945671081543,540,0.0003,16833,,,
371,3.82512978,19860,32.0,45,0.009999999776482582,0.0,-62.86452865600586,2.568669080734253,544,0.0003,16961,,,
380,4.97730315,19988,32.0,44,0.009999999776482582,0.0,-65.83026123046875,6.6866254806518555,548,0.0003,17089,32.0,3.4619465488517127,0.0
382,5.53845234,20116,32.0,45,0.009999999776482582,0.0,-63.67160415649414,1.183824062347412,552,0.0003,17217,,,
384,4.79024172,20244,32.0,45,0.009999999776482582,0.0,-63.21937561035156,2.6094110012054443,556,0.0003,17345,,,
386,5.313457990000001,20372,32.0,45,0.009999999776482582,0.0,-61.61663818359375,1.036779522895813,560,0.0003,17473,,,
388,4.81014963,20500,32.0,45,0.009999999776482582,0.0,-62.97766876220703,1.4810761213302612,564,0.0003,17601,,,
390,5.564306339999999,20628,32.0,45,0.009999999776482582,0.0,-65.6561279296875,1.2916041612625122,568,0.0003,17729,,,
392,5.129447249999999,20756,32.0,45,0.009999999776482582,0.0,-61.81765365600586,0.5261425971984863,572,0.0003,17857,,,
394,5.176419989999999,20884,32.0,45,0.009999999776482582,0.0,-63.53362274169922,0.6370320916175842,576,0.0003,17985,,,
403,4.825306609999999,21012,32.0,44,0.009999999776482582,0.0,-62.372535705566406,4.327949523925781,580,0.0003,18113,32.0,4.3303039912140795,0.0
405,5.120607699999999,21140,32.0,45,0.009999999776482582,0.0,-61.99444580078125,0.4566366672515869,584,0.0003,18241,,,
407,5.60035686,21268,32.0,45,0.009999999776482582,0.0,-61.8137092590332,0.59037184715271,588,0.0003,18369,,,
409,6.63206954,21396,32.0,45,0.009999999776482582,0.0,-60.36812973022461,1.81011164188385,592,0.0003,18497,,,
411,7.2204671099999995,21524,32.0,45,0.009999999776482582,0.0,-59.51072692871094,1.5929133892059326,596,0.0003,18625,,,
413,6.6056618999999985,21652,32.0,45,0.009999999776482582,0.0,-63.38086700439453,1.4624226093292236,600,0.0003,18753,,,
415,5.55929606,21780,32.0,45,0.009999999776482582,0.0,-59.83789825439453,1.7419719696044922,604,0.0003,18881,,,
424,5.263429940000001,21908,32.0,44,0.009999999776482582,0.0,-63.090301513671875,2.3074073791503906,608,0.0003,19009,32.0,2.8376849895619283,0.0
426,5.5863017899999985,22036,32.0,44,0.009999999776482582,0.0,-58.97509002685547,1.1509240865707397,612,0.0003,19137,,,
428,4.90008656,22164,32.0,44,0.009999999776482582,0.0,-63.34843826293945,0.5282525420188904,616,0.0003,19265,,,
430,4.416819299999999,22292,32.0,45,0.009999999776482582,0.0,-59.724910736083984,3.4107110500335693,620,0.0003,19393,,,
432,5.20093609,22420,32.0,45,0.009999999776482582,0.0,-62.40882873535156,2.341968536376953,624,0.0003,19521,,,
434,5.478509590000001,22548,32.0,45,0.009999999776482582,0.0,-63.83863067626953,1.2782456874847412,628,0.0003,19649,,,
436,5.788958029999999,22676,32.0,45,0.009999999776482582,0.0,-63.31523513793945,1.1551272869110107,632,0.0003,19777,,,
438,5.754634449999998,22804,32.0,45,0.009999999776482582,0.0,-63.57137680053711,0.985266923904419,636,0.0003,19905,,,
447,4.935719019999999,22932,32.0,44,0.009999999776482582,0.0,-62.36827087402344,2.0328545570373535,640,0.0003,20033,32.0,3.496910593715294,0.0
449,4.487448570000001,23060,32.0,44,0.009999999776482582,0.0,-62.22084426879883,1.7889420986175537,644,0.0003,20161,,,
451,3.7324213500000014,23188,32.0,44,0.009999999776482582,0.0,-60.69305419921875,2.212092876434326,648,0.0003,20289,,,
453,3.1851332700000006,23316,32.0,45,0.009999999776482582,0.0,-58.62641143798828,0.9632141590118408,652,0.0003,20417,,,
455,3.5875976500000006,23444,32.0,45,0.009999999776482582,0.0,-63.20908737182617,3.363915205001831,656,0.0003,20545,,,
457,2.821524759999999,23572,32.0,45,0.009999999776482582,0.0,-60.83812713623047,1.5677577257156372,660,0.0003,20673,,,
459,2.79479072,23700,32.0,45,0.009999999776482582,0.0,-63.692447662353516,3.6574525833129883,664,0.0003,20801,,,
461,2.2035558,23828,32.0,45,0.009999999776482582,0.0,-63.24269485473633,0.4449760317802429,668,0.0003,20929,,,
468,1.9044938200000008,23956,32.0,44,0.009999999776482582,0.0,-58.373836517333984,0.7292587757110596,672,0.0003,21057,28.6,7.658290059158228,0.0
470,1.8607322000000002,24030,31.46,44,0.009999999776482582,0.0,-64.54308319091797,0.5751994252204895,676,0.0003,21131,,,
472,2.44523663,24158,31.46,45,0.009999999776482582,0.0,-65.40513610839844,1.1508615016937256,680,0.0003,21259,,,
474,2.51273239,24286,31.46,45,0.009999999776482582,0.0,-62.714752197265625,2.458944797515869,684,0.0003,21387,,,
476,2.78603368,24414,31.46,45,0.009999999776482582,0.0,-60.61280822753906,2.283327102661133,688,0.0003,21515,,,
478,2.3294747599999996,24542,31.46,45,0.009999999776482582,0.0,-66.08663940429688,1.0642261505126953,692,0.0003,21643,,,
480,2.62324059,24670,31.46,45,0.009999999776482582,0.0,-64.28033447265625,0.9471928477287292,696,0.0003,21771,,,
481,2.6394246500000005,24773,31.21,45,0.009999999776482582,0.0,-62.54225158691406,3.2788212299346924,700,0.0003,21874,,,
483,2.95565364,24845,30.65,45,0.009999999776482582,0.0,-63.633827209472656,4.090883255004883,704,0.0003,21946,,,
489,3.0271668999999997,24958,30.5,45,0.009999999776482582,0.0,-62.28054428100586,2.7763609886169434,708,0.0003,22059,23.4,6.926028901102677,0.0
491,2.1596128500000003,25058,30.22,45,0.009999999776482582,0.0,-67.7428207397461,2.2244386672973633,712,0.0003,22159,,,
492,1.92144542,25136,29.72,45,0.009999999776482582,0.0,-62.92375946044922,2.35958194732666,716,0.0003,22237,,,
494,2.3994716699999996,25236,29.44,45,0.009999999776482582,0.0,-62.273902893066406,9.786436080932617,720,0.0003,22337,,,
496,1.62573033,25364,29.44,45,0.009999999776482582,0.0,-67.97279357910156,19.82980728149414,724,0.0003,22465,,,
498,1.4317988599999996,25480,29.32,45,0.009999999776482582,0.0,-71.3624038696289,0.7730842232704163,728,0.0003,22581,,,
499,0.7798732500000001,25580,29.04,45,0.009999999776482582,0.0,-67.62639617919922,14.509896278381348,732,0.0003,22681,,,
500,1.18783688,25660,28.56,45,0.009999999776482582,0.0,-62.7655143737793,4.068613052368164,736,0.0003,22761,,,
502,1.3910569099999999,25732,28.0,45,0.009999999776482582,0.0,-62.0981330871582,2.925880193710327,740,0.0003,22833,,,
503,0.5757396899999997,25842,27.82,45,0.009999999776482582,0.0,-65.690673828125,0.7253059148788452,744,0.0003,22943,,,
