rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,train/n_updates,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_ep_length,eval/success_rate,eval/mean_reward
24.0,36,127,196,4704,-14.353756600000002,0.0,0.0003,3703,-7.451408863067627,0.012004353106021881,-16.04649543762207,0.3292856812477112,,,
24.0,36,130,200,4800,-14.3787993,0.0,0.0003,3799,-7.7085371017456055,0.013040803372859955,-16.11002540588379,0.31993773579597473,,,
24.0,36,133,204,4896,-14.31865127,0.0,0.0003,3895,-7.889484882354736,0.015074958093464375,-15.972831726074219,0.3108535706996918,,,
24.0,36,135,208,4992,-14.18019933,0.0,0.0003,3991,-8.045233726501465,0.019078703597187996,-16.09364128112793,0.30202677845954895,,,
24.0,36,138,212,5088,-14.18924415,0.0,0.0003,4087,-8.230518341064453,0.012076487764716148,-16.00099754333496,0.293452650308609,,,
24.0,36,141,216,5184,-14.13231023,0.0,0.0003,4183,-8.45055866241455,0.015585757791996002,-15.988279342651367,0.28512042760849,,,
24.0,36,144,220,5280,-14.058132489999998,0.0,0.0003,4279,-8.633122444152832,0.014825299382209778,-15.999731063842773,0.277025431394577,,,
24.0,36,147,224,5376,-13.97054022,0.0,0.0003,4375,-8.861774444580078,0.015359915792942047,-15.988813400268555,0.2691607177257538,,,
24.0,36,150,228,5472,-13.96391168,0.0,0.0003,4471,-9.057332992553711,0.018390920013189316,-15.809630393981934,0.26152095198631287,,,
24.0,36,152,232,5568,-13.98597572,0.0,0.0003,4567,-9.227354049682617,0.013331679627299309,-15.883617401123047,0.25409913063049316,,,
24.0,36,155,236,5664,-13.946191149999997,0.0,0.0003,4663,-9.400019645690918,0.015483587980270386,-15.722494125366211,0.2468813955783844,,,
24.0,36,158,240,5760,-13.96437219,0.0,0.0003,4759,-9.642654418945312,0.016128897666931152,-15.73025131225586,0.2398720234632492,,,
24.0,36,161,244,5856,-13.953197600000001,0.0,0.0003,4855,-9.822757720947266,0.018077857792377472,-15.50550365447998,0.23306192457675934,,,
24.0,36,164,248,5952,-14.012069190000002,0.0,0.0003,4951,-10.00476360321045,0.018020201474428177,-15.49527359008789,0.22644445300102234,,,
,,,,6000,,,0.0003,4999,-10.111652374267578,0.014554490335285664,-15.542215347290039,0.2232055366039276,24.0,0.0,-13.8400655
24.0,35,170,252,6048,-14.014887750000003,0.0,0.0003,5047,-10.164522171020508,0.015509270131587982,-15.53982162475586,0.22001607716083527,,,
24.0,35,173,256,6144,-13.868197690000002,0.0,0.0003,5143,-10.378031730651855,0.014412615448236465,-15.305438995361328,0.21377001702785492,,,
24.0,35,176,260,6240,-13.91094429,0.0,0.0003,5239,-10.589608192443848,0.016336247324943542,-15.065319061279297,0.2077033519744873,,,
24.0,35,179,264,6336,-13.997378770000001,0.0,0.0003,5335,-10.782444953918457,0.01629915088415146,-14.927762985229492,0.20180654525756836,,,
24.0,35,182,268,6432,-13.86002618,0.0,0.0003,5431,-10.957859992980957,0.01794426143169403,-14.75902271270752,0.1960791051387787,,,
24.0,35,185,272,6528,-13.875829569999999,0.0,0.0003,5527,-11.187350273132324,0.015225835144519806,-14.621541023254395,0.19051189720630646,,,
24.0,35,188,276,6624,-13.93127946,0.0,0.0003,5623,-11.35482406616211,0.018578210845589638,-14.460676193237305,0.18510349094867706,,,
