rollout/success_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,eval/success_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef
0.1,41.94073107,13,180,3412,18.86,259,,,,-36.73101806640625,0.0003,2411,35.262176513671875,-2.711535692214966,0.519578754901886
0.1,43.712432099999994,13,184,3492,18.86,265,,,,-36.192054748535156,0.0003,2491,18.97557830810547,-2.777477264404297,0.5097097158432007
0.09,45.14504601000001,13,188,3572,18.99,271,,,,-38.5258903503418,0.0003,2571,43.09700012207031,-2.669135570526123,0.49988770484924316
0.08,45.09247877,13,192,3652,19.1,276,,,,-40.94411849975586,0.0003,2651,25.717208862304688,-2.5685360431671143,0.49058595299720764
0.06,47.75828825000001,13,196,3732,19.37,282,,,,-41.66560745239258,0.0003,2731,37.643592834472656,-2.64119029045105,0.4816392660140991
0.03,47.901982360000005,13,200,3812,19.7,287,,,,-41.724754333496094,0.0003,2811,23.721588134765625,-2.8233273029327393,0.47287717461586
0.03,49.61525623999999,13,204,3892,19.7,293,,,,-44.833744049072266,0.0003,2891,37.984153747558594,-2.62072491645813,0.4642125070095062
0.02,50.985939050000006,13,208,3972,19.87,299,,,,-45.476715087890625,0.0003,2971,29.508155822753906,-2.6727294921875,0.4556962549686432
,,,,4000,,,0.0,51.5370937,20.0,-49.471858978271484,0.0003,2999,31.44563865661621,-2.709838628768921,0.4527606666088104
0.0,51.27119392999999,12,212,4052,20.0,313,,,,-49.843936920166016,0.0003,3051,23.5565185546875,-2.899235963821411,0.4472804367542267
0.0,53.539041559999994,12,216,4132,20.0,319,,,,-49.45652389526367,0.0003,3131,33.63575744628906,-2.6486082077026367,0.43952831625938416
0.0,55.58800864,12,220,4212,20.0,325,,,,-50.64842987060547,0.0003,3211,31.634918212890625,-2.71160626411438,0.4318200945854187
0.0,56.59797797,12,224,4292,20.0,330,,,,-53.06621551513672,0.0003,3291,28.817520141601562,-2.59774112701416,0.42438504099845886
0.0,56.74761633999999,13,228,4372,20.0,336,,,,-56.088600158691406,0.0003,3371,28.03922462463379,-2.406008720397949,0.4172741174697876
0.0,57.787030059999985,13,232,4452,20.0,342,,,,-56.782989501953125,0.0003,3451,54.18805694580078,-2.6149797439575195,0.4102645516395569
0.0,60.20567979,13,236,4532,20.0,347,,,,-59.1534423828125,0.0003,3531,35.76586151123047,-2.715033769607544,0.40335434675216675
0.0,60.14338994,13,240,4612,20.0,353,,,,-61.541038513183594,0.0003,3611,40.76368713378906,-2.530756711959839,0.39657509326934814
0.0,60.96808816,13,244,4692,20.0,358,,,,-62.13378143310547,0.0003,3691,48.59130859375,-2.6110081672668457,0.389946848154068
0.0,61.02824885999999,13,248,4772,20.0,364,,,,-62.276329040527344,0.0003,3771,33.66226577758789,-2.7021756172180176,0.38310807943344116
0.0,60.93047094999999,13,252,4852,20.0,370,,,,-65.71902465820312,0.0003,3851,44.498680114746094,-2.4435489177703857,0.37634512782096863
0.0,61.87391871,13,256,4932,20.0,375,,,,-64.62673950195312,0.0003,3931,52.163028717041016,-2.4216203689575195,0.3697557747364044
,,,,5000,,,0.0,67.9306364,20.0,-66.07032012939453,0.0003,3999,54.21204376220703,-2.346125602722168,0.3644419312477112
0.0,63.37361609999999,12,260,5012,20.0,391,,,,-65.6067123413086,0.0003,4011,27.374120712280273,-2.483414649963379,0.3635096848011017
0.0,63.197155980000005,12,264,5092,20.0,397,,,,-67.11050415039062,0.0003,4091,49.943397521972656,-2.330500364303589,0.35743868350982666
0.0,64.80747688999999,12,268,5172,20.0,402,,,,-69.5347671508789,0.0003,4171,28.401897430419922,-2.2680115699768066,0.35153985023498535
0.0,64.98191548000001,12,272,5252,20.0,408,,,,-70.54838562011719,0.0003,4251,54.876365661621094,-2.8687758445739746,0.34541526436805725
0.0,64.0261815,12,276,5332,20.0,414,,,,-70.20673370361328,0.0003,4331,57.09627151489258,-3.166294813156128,0.33946725726127625
0.0,64.73476754,12,280,5412,20.0,419,,,,-72.5794448852539,0.0003,4411,45.50987243652344,-2.6992673873901367,0.3334457576274872
0.0,64.72292008000001,12,284,5492,20.0,426,,,,-76.47349548339844,0.0003,4491,58.63584518432617,-2.005268096923828,0.3276441693305969
0.0,64.74289778,12,288,5572,20.0,431,,,,-75.5047607421875,0.0003,4571,40.9058837890625,-2.4824535846710205,0.32199347019195557
0.0,66.40146768,12,292,5652,20.0,437,,,,-74.74590301513672,0.0003,4651,43.04913330078125,-2.762777090072632,0.31625744700431824
0.0,66.17476327,12,296,5732,20.0,443,,,,-79.30050659179688,0.0003,4731,52.93572235107422,-3.10994815826416,0.3105808198451996
0.0,66.74734934,12,300,5812,20.0,448,,,,-79.501953125,0.0003,4811,44.32268524169922,-1.9634346961975098,0.3052612543106079
0.0,65.75898439000001,12,304,5892,20.0,454,,,,-81.11131286621094,0.0003,4891,62.172119140625,-1.7562488317489624,0.2998821437358856
0.0,65.46662077,12,308,5972,20.0,460,,,,-85.3676528930664,0.0003,4971,52.57160949707031,-2.277005195617676,0.2949839234352112
,,,,6000,,,0.0,76.5329707,20.0,-84.2078628540039,0.0003,4999,83.09403991699219,-1.697331190109253,0.2932451069355011
0.0,64.38124337,12,312,6052,20.0,476,,,,-83.91371154785156,0.0003,5051,45.98666763305664,-2.539278507232666,0.29009950160980225
0.0,63.32144169,12,316,6132,20.0,481,,,,-85.98795318603516,0.0003,5131,63.69593811035156,-2.449201822280884,0.2851240038871765
0.0,63.159071850000004,12,320,6212,20.0,487,,,,-84.41903686523438,0.0003,5211,63.69799041748047,-2.529033660888672,0.28043216466903687
0.0,62.793825770000005,12,324,6292,20.0,492,,,,-87.1690444946289,0.0003,5291,116.77597045898438,-2.480736494064331,0.2757451832294464
0.0,61.30793826000001,12,328,6372,20.0,498,,,,-91.8338394165039,0.0003,5371,86.8258056640625,-2.471280097961426,0.27080562710762024
0.0,61.60802102999999,12,332,6452,20.0,503,,,,-91.89179992675781,0.0003,5451,46.09563064575195,-2.276352882385254,0.2659972012042999
0.0,61.32513488000001,12,336,6532,20.0,509,,,,-93.58747100830078,0.0003,5531,56.242225646972656,-2.0460660457611084,0.2613294720649719
0.0,61.164835829999994,12,340,6612,20.0,515,,,,-94.36798095703125,0.0003,5611,118.0785903930664,-2.037353038787842,0.257016658782959
0.0,61.287108829999994,12,344,6692,20.0,520,,,,-96.01744842529297,0.0003,5691,79.1156005859375,-2.6508936882019043,0.25263145565986633
0.0,62.9107941,12,348,6772,20.0,526,,,,-96.08903503417969,0.0003,5771,77.05128479003906,-3.0362086296081543,0.24817176163196564
0.0,62.878430019999996,12,352,6852,20.0,532,,,,-94.8883285522461,0.0003,5851,113.72233581542969,-1.4872021675109863,0.24420689046382904
0.0,62.93327337000001,12,356,6932,20.0,537,,,,-100.25459289550781,0.0003,5931,58.13458251953125,-1.094388484954834,0.24056287109851837
,,,,7000,,,0.0,49.26198419999999,20.0,-101.85205841064453,0.0003,5999,72.99688720703125,-2.3143723011016846,0.23760807514190674
0.0,62.2805008,12,360,7012,20.0,552,,,,-100.50218200683594,0.0003,6011,56.919189453125,-2.5887064933776855,0.23705467581748962
0.0,62.96049701000001,12,364,7092,20.0,559,,,,-100.24383544921875,0.0003,6091,61.85101318359375,-2.207843065261841,0.23346304893493652
0.0,63.71147269000001,12,368,7172,20.0,564,,,,-103.44637298583984,0.0003,6171,39.63992691040039,-0.48456987738609314,0.23014968633651733
0.0,62.89813889999999,12,372,7252,20.0,570,,,,-103.508056640625,0.0003,6251,91.04908752441406,-1.8780100345611572,0.22720588743686676
0.0,63.63915784999999,12,376,7332,20.0,576,,,,-106.3361587524414,0.0003,6331,102.34430694580078,-1.628300428390503,0.22425571084022522
0.0,63.5533878,12,380,7412,20.0,582,,,,-109.18594360351562,0.0003,6411,58.87983322143555,-1.8523008823394775,0.220917746424675
0.0,63.63593747000001,12,384,7492,20.0,588,,,,-108.57300567626953,0.0003,6491,64.46480560302734,-2.4397079944610596,0.21798749268054962
0.0,63.56939431000001,12,388,7572,20.0,594,,,,-111.61591339111328,0.0003,6571,89.18795776367188,-2.0298256874084473,0.21531599760055542
0.0,63.73877756000001,12,392,7652,20.0,600,,,,-113.7167739868164,0.0003,6651,86.85226440429688,-1.7783247232437134,0.21254384517669678
0.0,63.607443280000005,12,396,7732,20.0,606,,,,-113.86231994628906,0.0003,6731,83.0163345336914,-1.1553856134414673,0.20973768830299377
0.0,62.15955089000001,12,400,7812,20.0,611,,,,-115.95053100585938,0.0003,6811,91.49909210205078,-1.4262657165527344,0.20664750039577484
0.0,63.10918979,12,404,7892,20.0,617,,,,-116.94646453857422,0.0003,6891,78.39476776123047,-0.8102540969848633,0.2037791907787323
0.0,63.1915332,12,408,7972,20.0,623,,,,-120.02891540527344,0.0003,6971,73.87872314453125,-0.4788142144680023,0.20133744180202484
,,,,8000,,,0.0,72.80019750000001,20.0,-120.66435241699219,0.0003,6999,53.2337760925293,-1.6556532382965088,0.2003595381975174
0.0,62.80279929,12,412,8052,20.0,639,,,,-116.1642074584961,0.0003,7051,106.0560302734375,-0.6482559442520142,0.19883407652378082
0.0,64.05079495,12,416,8132,20.0,644,,,,-119.62897491455078,0.0003,7131,56.526611328125,-0.8884866237640381,0.19715042412281036
0.0,63.95570612,12,420,8212,20.0,650,,,,-122.7921142578125,0.0003,7211,125.05799865722656,-1.368129014968872,0.1955130249261856
0.0,64.08838218999999,12,424,8292,20.0,656,,,,-120.23428344726562,0.0003,7291,130.25892639160156,-0.5645433664321899,0.1932809203863144
0.0,64.64338974000002,12,428,8372,20.0,662,,,,-124.91497802734375,0.0003,7371,53.11835479736328,-0.6729673147201538,0.19116273522377014
0.0,64.90653603,12,432,8452,20.0,668,,,,-124.0087890625,0.0003,7451,62.82809066772461,-0.3210059404373169,0.18938612937927246
0.0,64.45296873,12,436,8532,20.0,673,,,,-124.79530334472656,0.0003,7531,125.7157974243164,-0.9871061444282532,0.187332883477211
0.0,64.6291976,12,440,8612,20.0,679,,,,-127.75770568847656,0.0003,7611,104.31375122070312,-1.2259788513183594,0.1850561946630478
0.0,64.47222574,12,444,8692,20.0,685,,,,-129.68121337890625,0.0003,7691,98.94241333007812,-0.818530261516571,0.18326173722743988
0.0,64.49357742,12,448,8772,20.0,691,,,,-132.42428588867188,0.0003,7771,56.30000305175781,-0.651608407497406,0.1811545193195343
0.0,63.739932200000005,12,452,8852,20.0,696,,,,-132.38771057128906,0.0003,7851,65.71622467041016,-0.845910906791687,0.1797172725200653
0.0,63.19988069,12,456,8932,20.0,702,,,,-136.12045288085938,0.0003,7931,89.0606918334961,-0.6049954891204834,0.17778152227401733
,,,,9000,,,0.0,58.57079940000001,20.0,-135.80654907226562,0.0003,7999,80.78750610351562,-0.673898458480835,0.17687059938907623
0.0,63.14271905,12,460,9012,20.0,717,,,,-131.67962646484375,0.0003,8011,59.478050231933594,-0.5580127835273743,0.17663374543190002
0.0,63.01967043,12,464,9092,20.0,723,,,,-135.46356201171875,0.0003,8091,77.34248352050781,-1.7243175506591797,0.17467349767684937
0.0,63.4015874,12,468,9172,20.0,729,,,,-135.69085693359375,0.0003,8171,57.71501541137695,-1.3457884788513184,0.17267835140228271
0.0,63.92737068,12,472,9252,20.0,735,,,,-137.27110290527344,0.0003,8251,120.80831909179688,-0.38390499353408813,0.17136746644973755
0.0,63.13229502,12,476,9332,20.0,741,,,,-139.1187744140625,0.0003,8331,102.19132232666016,-0.7952038049697876,0.17002210021018982
0.0,63.172700289999995,12,480,9412,20.0,747,,,,-140.7684326171875,0.0003,8411,89.31846618652344,-0.9826592803001404,0.16917146742343903
0.0,62.68059094,12,484,9492,20.0,753,,,,-142.2008514404297,0.0003,8491,87.55323791503906,-1.2285703420639038,0.16748619079589844
0.0,61.600143870000004,12,488,9572,20.0,758,,,,-143.31808471679688,0.0003,8571,64.81547546386719,-0.11026648432016373,0.16692779958248138
0.0,61.27038411999999,12,492,9652,20.0,764,,,,-142.66615295410156,0.0003,8651,74.54777526855469,-0.7243599891662598,0.16521614789962769
0.0,61.23807613000001,12,496,9732,20.0,770,,,,-147.18380737304688,0.0003,8731,161.00677490234375,-0.5664792060852051,0.163956418633461
0.0,62.374702699999986,12,500,9812,20.0,776,,,,-147.31967163085938,0.0003,8811,81.45053100585938,-0.9171038269996643,0.16258758306503296
0.0,62.37112792999999,12,504,9892,20.0,782,,,,-145.27743530273438,0.0003,8891,98.32157897949219,1.631310224533081,0.16155947744846344
0.0,61.760653389999995,12,508,9972,20.0,788,,,,-149.13009643554688,0.0003,8971,46.809906005859375,0.15995553135871887,0.1605079472064972
,,,,10000,,,0.0,66.6722803,20.0,-150.54714965820312,0.0003,8999,100.76918029785156,0.2876487970352173,0.16043734550476074
0.0,62.11924666000001,12,512,10052,20.0,803,,,,-150.61422729492188,0.0003,9051,52.96228790283203,-1.1699832677841187,0.1599760204553604
0.0,61.285033000000006,12,516,10132,20.0,809,,,,-148.76377868652344,0.0003,9131,79.39202880859375,0.5024864077568054,0.15887197852134705
0.0,61.28735268,12,520,10212,20.0,815,,,,-151.662109375,0.0003,9211,56.60358428955078,0.18155717849731445,0.15856492519378662
0.0,62.15101821999999,12,524,10292,20.0,821,,,,-151.13833618164062,0.0003,9291,96.01138305664062,-0.30457931756973267,0.15844231843948364
0.0,62.86916316999999,12,528,10372,20.0,827,,,,-154.16709899902344,0.0003,9371,68.90074157714844,0.6575675010681152,0.15707583725452423
0.0,62.92993693,12,532,10452,20.0,833,,,,-154.7066192626953,0.0003,9451,111.73916625976562,0.12308025360107422,0.15708641707897186
