time/fps,train/learning_rate,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/ent_coef,time/episodes,train/critic_loss,train/n_updates,rollout/ep_len_mean,eval/mean_ep_length,eval/success_rate,eval/mean_reward
47,0.0003,0,0.0,2.727287,16,0.9915252327919006,0.009999999776482582,4,3.018317699432373,79,4.0,,,
51,0.0003,0,0.0,3.0279625,32,0.5762955546379089,0.009999999776482582,8,4.588903903961182,95,4.0,,,
52,0.0003,0,0.0,3.1472646666666666,48,0.08696549385786057,0.009999999776482582,12,4.1857428550720215,111,4.0,,,
51,0.0003,1,0.0,3.256261625,64,-0.32883980870246887,0.009999999776482582,16,6.5941267013549805,127,4.0,,,
51,0.0003,1,0.0,3.2452577499999995,80,-0.6509562730789185,0.009999999776482582,20,7.813602447509766,143,4.0,,,
51,0.0003,1,0.0,2.09652,96,-0.8262444734573364,0.009999999776482582,24,8.94509506225586,159,4.0,,,
51,0.0003,2,0.0,2.371125857142857,112,-0.8235139846801758,0.009999999776482582,28,12.45754623413086,175,4.0,,,
48,0.0003,2,0.0,2.495764,128,-0.7044907808303833,0.009999999776482582,32,10.634016990661621,191,4.0,4.0,0.0,3.9333620675307523
48,0.0003,2,0.0,2.6673573055555555,144,-0.7441529035568237,0.009999999776482582,36,7.284801483154297,207,4.0,,,
48,0.0003,3,0.0,2.7698457000000003,160,-0.7749459743499756,0.009999999776482582,40,13.266992568969727,223,4.0,,,
48,0.0003,3,0.0,2.850749909090909,176,-0.9601863026618958,0.009999999776482582,44,8.781637191772461,239,4.0,,,
49,0.0003,3,0.0,2.8918798958333327,192,-1.0450788736343384,0.009999999776482582,48,15.391904830932617,255,4.0,,,
49,0.0003,4,0.0,2.976264153846153,208,-0.9591238498687744,0.009999999776482582,52,9.77324104309082,271,4.0,,,
50,0.0003,4,0.0,2.9832787499999998,224,-1.250320315361023,0.009999999776482582,56,11.447563171386719,287,4.0,,,
50,0.0003,4,0.0,2.984145433333333,240,-1.4608776569366455,0.009999999776482582,60,10.313488006591797,303,4.0,,,
48,0.0003,5,0.0,3.011197125,256,-1.332851529121399,0.009999999776482582,64,13.432058334350586,319,4.0,4.0,0.0,3.9606333865597967
